000009503 Gatza, Marene 3.67 2021
614941000 Quitedo, Siraj 1.99 2019
614956315 Menotti, Qiaoyan 4.72 2019
614965099 Barbaria, Shahab 3.45 2020
614971323 Miranda, Stela 0.24 2018
614972808 Donoso, Zeshan 0.05 2018
614974301 Hosaka, Violina 2.58 2020
614985624 Blower, Eliza 1.52 2021
614999895 Bult, Kely 4.35 2019
615000177 Harger, Cindia 4.45 2020
615007118 Bruess, Rosmarie 2.61 2019
615011759 Cristelli, Quintina 2.87 2021
615023747 Slaymaker, Abrahan 1.10 2022
615039279 Como, Biyu 0.17 2019
615040553 Deras, Naima 3.52 2020
615042287 Morini, Ainitze 4.31 2022
615043927 Yockey, Yarey 2.26 2019
615054085 Dorst, Joerg 0.43 2019
615068939 Augustine, Sirlei 4.90 2022
615068825 Casassa, Redosinda 3.40 2021
615079504 Gayheart, Fabiano 4.48 2020
615097269 Koyama, Tressa 0.57 2022
615099645 Alesi, Iouri 3.01 2021
615107686 Orji, Anya 2.58 2021
615109298 Spano, Iesha 3.87 2018
615124207 Sedwick, Yubin 0.27 2021
615141510 Creekbaum, Weronika 3.50 2021
615180161 Dunkin, Vitaly 1.94 2022
615197260 Ohlemacher, Jianjun 0.81 2018
615200325 Kelau, Fella 1.49 2020
615217026 Nivar, Kattalin 0.39 2019
615218167 Settino, Eiman 1.93 2018
615220650 Mcquitty, Jinhua 0.92 2021
615226610 Janisch, Arlete 0.05 2021
615255216 Watahomigie, Dusty 0.36 2019
615272381 Batcher, Aimee 0.56 2019
615275866 Bellini, Sintia 0.42 2021
615278592 Curi, Hadia 4.01 2022
615286953 Mcburney, Sikander 4.78 2020
615287422 Eckerson, Shoshana 1.76 2021
615316587 Wagenknecht, Ghada 2.54 2022
615316883 Rogoff, Abdeljabbar 2.61 2019
615326896 Fougere, Drusila 3.59 2018
615351162 Begnaud, Muneeb 1.04 2018
615353654 Quast, Ottavio 4.42 2019
615373465 Sardin, Evalyn 3.88 2018
615376063 Decurtis, Synnove 3.74 2022
615391803 Cossaboon, Friday 4.03 2020
615411205 Preyor, Yedra 0.25 2022
615416484 Stanchfield, Russ 1.01 2021
615425516 Schamp, Jetzabel 1.20 2021
615442326 Magrone, Ftimou 2.68 2021
615446056 Bair, Yongli 3.18 2022
615454476 Arkadie, Mauren 1.94 2021
615458625 Lobbins, Mailyn 1.26 2022
615461495 Yam, Benilda 0.86 2019
615472741 Dykhouse, Bouabdellah 4.41 2018
615482541 Ribiero, Sondra 0.89 2018
615496027 Tiell, Yolonda 0.60 2019
615528305 Saltzman, Ksenija 1.66 2022
615535385 Exley, Violina 4.41 2021
615536998 Siegfreid, Jerlene 0.32 2021
615542408 Laragy, Oristela 3.59 2019
615549090 Yewell, Queralt 3.05 2018
615550022 Hashem, Kathe 2.34 2018
615568993 Sauers, Chahrazed 1.94 2019
615607472 Leno, Tayisiya 4.72 2019
615612398 Steibel, Maribeth 3.86 2021
615617454 Ellers, Navdeep 3.21 2019
615620799 Yekel, Graciliano 0.53 2022
615629072 Mccolm, Shanelle 2.29 2021
615630067 Ellerd, Anasse 0.89 2018
615645997 Grava, Bettye 0.93 2021
615645245 Uhlman, Carminda 4.46 2022
615649390 Balasubramani, Boulus 3.83 2022
615665429 Gadzinski, Tibor 3.49 2018
615673353 Bourraine, Maisie 2.35 2021
615713820 Kuschel, Plamen 1.47 2022
615717658 Fosnaugh, Kasie 2.02 2022
615718635 Frankenstein, Mouctar 2.95 2021
615723314 Mackimmie, Maysae 4.08 2022
615727626 Lavergne, Zhongyi 0.82 2019
615733501 Weck, Khamis 3.42 2020
615767243 Pulos, Francelina 2.27 2022
615771461 Jack, Kadia 4.71 2020
615773750 Hartgrave, Yovana 2.93 2022
615779166 Fedler, Jamaa 1.06 2022
615786467 Hobbins, Niria 2.33 2020
615798245 Pizani, Deiby 0.87 2019
615802140 Tarling, Ismaela 1.89 2018
615817249 Caraveo, Plautila 4.13 2019
615827117 Burtin, Poncio 2.93 2020
615845055 Rudzinski, Sarwar 4.87 2018
615851416 Hinley, Albertas 2.55 2018
615860254 Gionet, Dimitrie 3.03 2022
615874040 Ozer, Ludmilla 2.05 2018
615890157 Maclain, Kaixin 2.57 2022
615890392 Hilsenbeck, Iliya 2.26 2018
615897429 Zitzmann, Sayra 1.98 2021
615904830 Dedinas, Shanae 4.27 2022
615917977 Sepulvado, Urbana 1.89 2019
615945057 Otuafi, Sorangel 0.98 2021
615980090 Vanblarcom, Patrica 3.43 2020
615984986 Hamons, Taleb 0.92 2021
615993161 Buzbee, Magdala 1.34 2020
615995405 Kocka, Romy 4.28 2018
616002358 Hempstead, Wenona 0.86 2022
616010192 Boveja, Zula 0.22 2022
616034147 Tabor, Firdaws 1.60 2021
616040873 Kaaua, Yobana 2.66 2019
616048741 Raygosa, Inazio 0.28 2018
616053360 Homza, Nelida 2.51 2022
616056637 Vecchia, Hady 2.54 2019
616056171 Pavlick, Saraniu 0.31 2022
616062975 Hilsenbeck, Dorcas 4.84 2021
616063141 Heaps, Sudie 1.66 2022
616064096 Rapkowicz, Iusra 3.02 2020
616066170 Butcher, Esmeraldo 0.54 2022
616072245 Rouillier, Cozmin 3.77 2019
616084854 Bergesen, Denisa 0.39 2022
616090119 Maiers, Cliff 4.96 2020
616093254 Weit, Aranzazu 3.61 2022
616094231 Kosa, Velia 1.46 2018
616111550 Westervelt, Christene 0.46 2021
616122394 Torrillo, Huria 2.56 2020
616124559 Bugayong, Abdeljaouad 1.26 2019
616137493 Cheshier, Jonathon 0.02 2018
616166024 Mccubrey, Xinmiao 2.49 2019
616196856 Chinweze, Keisha 1.52 2020
616207448 Cornes, Octaviana 2.08 2019
616218827 Mccredie, Texenery 3.31 2021
616229725 Dusza, Yaretzi 4.45 2019
616240422 Wengert, Herena 3.12 2021
616270550 Venth, Marlies 1.44 2018
616275553 Sumas, Khalissa 2.20 2022
616276453 Vandersloot, Al 0.56 2022
616279705 Jurik, Eugene 1.23 2022
616282157 Heinitz, Teisha 2.91 2021
616314860 Spaar, Jasmeen 3.89 2021
616319953 Steinhagen, Ahmet 4.46 2020
616353124 Bobby, Joline 4.41 2020
616358235 Warstler, Edie 4.94 2019
616363015 Borda, Delmar 2.26 2021
616371953 Boshart, Matea 3.28 2019
616377482 Foulke, Eloino 3.38 2022
616385335 Vargo, Felio 2.95 2021
616393108 Vides, Racquel 3.24 2019
616403251 Imberg, Zoi 1.87 2019
616445745 Mctiernan, Abul 1.97 2019
616453606 Faherty, Waclaw 4.74 2018
616459245 Kepley, Nicki 4.39 2018
616464149 Douville, Jiaming 0.07 2020
616469856 Holoway, Kaede 1.50 2019
616483939 Gagliardi, Toney 2.12 2021
616485445 Westerman, Bingen 4.50 2022
616490829 Laport, Anuar 0.50 2019
616491432 Keate, Ethan 2.37 2019
616497534 Kehr, Makan 1.56 2020
616504650 Perez, Amane 0.68 2018
616515666 Ringering, Alodia 3.65 2019
616534738 Lustberg, Wendolyn 2.19 2020
616549226 Jagoe, Efisio 0.98 2019
616551794 Exley, Yaakoub 2.22 2019
616554806 Breitenstein, Cira 2.87 2021
616575354 Thulin, Lachezar 3.84 2018
616625428 Seki, Raisa 0.38 2022
616636149 Callicott, Imre 0.03 2020
616637787 Gagan, Loana 0.42 2022
616640544 Veloso, Walther 3.68 2020
616656634 Madan, Yassine 0.82 2019
616682846 Besco, Nawar 0.14 2021
616688213 Kinderknecht, Renaldo 0.44 2018
616704247 Pasierb, Quim 1.10 2020
616705447 Dietsche, Attila 3.51 2022
616716068 Helmly, Nathaly 4.80 2022
616739456 Bomaster, Dalida 3.42 2021
616746923 Schlemmer, Wiham 0.68 2018
616750401 Hemmeter, Francine 0.98 2018
616824642 Schraff, Wenbo 1.65 2019
616841112 Nee, Dino 2.45 2019
616849818 Mastalski, Arthur 1.12 2019
616853208 Garthee, Volker 4.81 2018
616854888 Wisnieski, Ioritz 2.89 2019
616884558 Hardaker, Ibtissame 4.69 2020
616901850 Farlow, Jolie 3.92 2022
616903621 Tjelmeland, Daouia 0.34 2021
616915592 Koppes, Izabella 1.83 2019
616943259 Gierke, Raluca 3.98 2019
616964704 Bladen, Nazareth 4.43 2019
616978645 Mabb, Dumitrita 1.01 2021
616983521 Pikkarainen, Jessika 0.28 2021
616986195 Sulecki, Bakary 4.58 2021
616996851 Postlewaite, Sondra 1.86 2019
617001338 Bening, Nadiya 2.68 2019
617013455 Shintani, Pasqualina 1.19 2020
617069590 Ralls, Lucineia 1.65 2020
617074226 Lartigue, Idris 0.51 2019
617076174 Corraro, Amalia 0.76 2018
617079758 Larios, Jani 4.82 2019
617081375 Esera, Collado 4.01 2018
617083250 Jaye, Friedrich 3.26 2022
617090849 Seweall, Ifigenia 2.47 2020
617097981 Girad, Trent 4.68 2019
617111168 Pichler, Meike 1.80 2021
617122334 Bosarge, Shorena 0.45 2021
617136976 Santoli, Moad 4.42 2022
617148383 Nevue, Kiana 2.84 2018
617156003 Stangle, Dayane 3.35 2019
617156390 Grotzinger, Steluta 3.17 2018
617179117 Salzer, Nishan 0.07 2021
617182493 Kman, Zalina 0.95 2020
617185251 Monty, Amaia 1.27 2021
617211969 Donate, Noureddine 0.63 2022
617216427 Maderas, Thibault 0.01 2021
617221894 Moren, Sirin 3.78 2020
617223164 Abdelmuti, Kamil 3.02 2019
617226624 Vanderhoef, Linwei 3.41 2019
617231822 Prestwood, Mariora 2.25 2018
617232236 Jeanlouis, Aisam 0.50 2021
617241576 Delpapa, Sverre 2.60 2021
617246197 Arne, Marge 4.00 2021
617249511 Parado, Pancho 1.84 2018
617249545 Llorens, Gerald 0.56 2019
617253685 Behanan, Natan 1.14 2022
617260091 Boesen, Sohayb 3.25 2018
617265614 Mcraven, Ryann 0.22 2021
617271892 Dayrit, Aldemar 0.21 2021
617271205 Bastille, Belle 2.90 2022
617279248 Derrick, Eladi 0.70 2021
617279790 Padillo, Nasima 1.47 2018
617284768 Setlak, Kyara 3.59 2022
617315155 Torino, Serafin 2.40 2018
617330054 Countryman, Gopal 0.42 2021
617346344 Merica, Chama 1.37 2019
617348731 Wilchek, Pascal 0.30 2018
617352747 Grima, Jianzhen 4.06 2020
617354050 Guillerault, Achoura 0.19 2019
617379002 Turbiner, Lesha 0.68 2019
617394226 Otero, Aglaia 1.92 2020
617398756 Ringstaff, Yaseen 0.80 2022
617406790 Fahrner, Belisaria 0.25 2021
617430219 Riedmayer, Seila 4.12 2020
617430629 Maccarone, Tess 3.39 2018
617431131 Harnden, Heinrich 2.13 2019
617445644 Maclaurin, Melito 4.36 2022
617490989 Mackaman, Manale 0.03 2021
617492912 Debutts, Abdelouahd 1.43 2022
617496721 Barcelo, Nikola 3.54 2020
617500153 Lerow, Safietou 3.76 2022
617501153 Mccaster, Jessika 1.18 2020
617517497 Centrone, Taysir 0.20 2018
617522337 Balash, Zoubir 2.23 2021
617523685 Siebenberg, Jesusita 4.09 2021
617527370 Pettersen, Joye 2.38 2021
617527001 Chatfield, Nurys 0.56 2019
617543674 Vanni, Jabran 4.60 2022
617554840 Espitia, Elyass 2.31 2019
617561195 Oneal, Simonne 2.96 2021
617567863 Battle, Romilda 3.10 2019
617568845 Manrriquez, Messaouda 3.54 2019
617604232 Philson, Visita 1.78 2019
617615759 Hamolik, Hoummada 3.65 2022
617617715 Yamashita, Joao 2.84 2022
617627467 Mckin, Lichun 2.54 2020
617632122 Brubaker, Serotina 4.82 2018
617643598 Kurisu, Idaly 2.48 2021
617644374 Dona, Hermita 0.66 2021
617660657 Strande, Xianyong 2.16 2019
617678117 Peggs, Aliza 3.25 2022
617696639 Alattar, Serban 2.28 2021
617697380 Myricks, Martirio 1.86 2018
617713694 Deisher, Krysten 3.23 2022
617726030 Hassig, Wiham 4.63 2019
617730255 Angiolillo, Kieran 0.84 2021
617751572 Krieg, Ashlea 3.31 2020
617757071 Hoot, Amelie 2.88 2022
617767011 Saulter, Izaga 4.81 2018
617772430 Intermill, Qunfeng 3.59 2020
617792247 Calley, Samanta 3.72 2022
617794714 Haner, Ghizlane 2.20 2019
617795995 Metsker, Yongguang 2.81 2022
617796831 Phom, Ndiaye 0.80 2018
617805002 Ritchko, Lassana 0.71 2022
617812232 Mussen, Catita 4.30 2020
617827780 Gorri, Jackelin 0.09 2020
617833376 Nanna, Ida 3.58 2019
617862316 Clowers, Hrant 1.51 2020
617925109 Lasyone, Abdelkebir 1.21 2019
617927436 Orebaugh, Kimiko 4.33 2021
617930491 Lorello, Jinhui 1.39 2022
617955370 Sao, Elimane 1.06 2022
617967949 Holdeman, Edorta 4.05 2021
617976526 Lentini, Issame 4.09 2018
617990892 Benberry, Abdesalam 0.93 2019
617991385 Ostergard, Catina 0.07 2021
618004085 Elling, Dandan 2.18 2018
618004226 Zaremba, Yongqiang 4.94 2019
618075671 Summerset, Rokas 3.51 2018
618107606 Olazabal, Baltasar 3.67 2020
618117583 Gesick, Miquela 1.29 2022
618128355 Kerbow, Bogumil 3.28 2022
618130465 Piceno, Kevyn 1.35 2019
618140586 Sciarini, Haoxuan 3.82 2019
618151406 Samas, Ixiar 2.55 2022
618153053 Mcquaig, Kyara 0.06 2018
618170426 Sockalosky, Nansi 2.67 2018
618181114 Hites, Marinus 1.45 2020
618182548 Rykard, Grietje 3.39 2020
618187257 Helde, Hanaa 3.41 2019
618203261 Medin, Angela 3.81 2021
618210494 Nicar, Josephina 4.23 2020
618233786 Stelmach, Kirk 2.98 2019
618240232 Cynthia, Bo 1.44 2020
618241230 Raiford, Constancia 0.83 2021
618242985 Milosevic, Lubos 0.14 2020
618242398 Fuapau, Guaditoca 3.30 2019
618270027 Gladysiewski, Eutiquiano 4.31 2022
618279037 Heidtbrink, Edilson 0.48 2018
618290397 Schuler, Lennon 2.71 2019
618309784 Tun, Feliciano 4.35 2022
618312599 Licano, Marga 3.91 2022
618316307 Hershaw, Lahcene 2.20 2018
618319992 Bingler, Huseyin 4.13 2019
618322392 Cruthirds, Dara 3.41 2022
618334948 Belew, Atena 4.49 2021
618342379 Burau, Khadidja 0.52 2021
618345151 Monrreal, Margrit 2.63 2020
618352268 Durnil, Aiko 0.23 2022
618385530 Mccarley, Xiao 3.59 2020
618389206 Gladysiewski, Weijun 1.98 2021
618401657 Pucker, Lynne 2.03 2019
618407952 Wnukowski, Cortijo 2.29 2022
618417918 Byford, Elene 2.03 2022
618440292 Cyprian, Weijie 2.91 2018
618442112 Cangemi, Steven 3.12 2022
618452162 Robbins, Solomia 4.28 2020
618476631 Mecham, Jamal 2.68 2022
618481897 Auer, Davide 2.26 2021
618501992 Ritrovato, Sau 3.23 2021
618502083 Lill, Marijke 2.78 2020
618514174 Gaulzetti, Sambou 3.95 2022
618518531 Semone, Moustapha 0.18 2019
618524509 Hencheck, Milcho 4.39 2021
618545377 Lupkin, Luara 2.17 2021
618562361 Grassle, Maryline 1.55 2019
618567830 Prahm, Nerijus 0.35 2018
618594217 Stoudamire, Anass 1.28 2021
618605561 Szmalc, Nonato 2.77 2020
618607538 Wide, Carlina 2.02 2018
618617533 Greenwaldt, Glenny 2.89 2022
618619386 Pfoutz, Craciun 1.77 2022
618622928 Auge, Eudoxio 0.67 2018
618624982 Cerasuolo, Auxiliadora 3.03 2018
618627281 Waltrip, Hadhoum 2.81 2020
618627308 Nalls, Isaia 2.13 2021
618629667 Kotzen, Svetlin 1.59 2018
618629757 Cooperwood, Latonya 4.68 2022
618629599 Stoval, Omayma 1.10 2020
618638983 Mckendall, Gara 0.70 2019
618661253 Comly, Xiaokang 3.04 2018
618670165 Javor, Yisela 4.18 2019
618681958 Camilleri, Meriam 0.79 2020
618689561 Furrh, Khatuna 4.69 2022
618710473 Hallet, Juanita 4.54 2022
618743451 Hemley, Leif 1.37 2019
618761950 Dustin, Guasimara 0.47 2022
618770793 Iurato, Izaskum 1.64 2018
618792310 Tornow, Hiroshi 4.75 2020
618795799 Armendariz, Severo 1.48 2018
618837520 Funicello, Fructuoso 4.10 2022
618841544 Capriotti, Jesusita 3.72 2019
618845536 Vancura, Charifa 2.81 2019
618846868 Szyszka, Soulaymane 2.82 2020
618898206 Parkhill, Donny 0.49 2020
618899926 Fust, Raimund 4.16 2021
618903108 Bertha, Xiaoqin 1.01 2019
618916306 Leith, Ievgenii 4.83 2022
618928491 Amerson, Iraci 0.61 2019
618933574 Bruess, Akim 3.12 2020
618939566 Bergert, Sardar 2.71 2020
618945683 Novad, Suli 3.47 2021
618945219 Tuberman, Aproniano 3.18 2019
618961923 Kroc, Britt 3.28 2022
618980289 Lydic, Adilia 0.21 2018
618982801 Barba, Adriane 2.90 2022
619030052 Taliaferro, Choudhry 3.39 2022
619030686 Fantazia, Sidonio 4.45 2021
619040448 Tolston, Euken 1.49 2020
619067553 Spainhour, Assis 1.47 2018
619076845 Sitzler, Dulcelina 0.57 2021
619078396 Follin, Lerida 3.63 2020
619106290 Forgue, Leonid 1.22 2022
619121372 Souhrada, Violetta 4.95 2019
619134929 Deloney, Melanny 3.78 2022
619141372 Ridner, Lesley 4.48 2022
619163973 Foeller, Costantin 2.12 2020
619180719 Breheny, Grigore 4.74 2022
619181999 Wolgast, Pattie 4.37 2020
619181186 Clinebell, Raydel 2.23 2021
619182969 Jauhar, Bartosz 4.85 2019
619215775 Gurwell, Baralides 4.21 2019
619230952 Campese, Evandro 4.15 2022
619263823 Merine, Adriaan 4.32 2022
619264198 Harbold, Deborah 1.53 2018
619268699 Shivy, Basmala 2.71 2022
619268560 Ards, Indar 1.16 2022
619277707 Zotos, Lahasen 3.28 2020
619308126 Dundon, Jianfu 4.61 2019
619313694 Tempest, Breanne 4.38 2019
619339718 Breyer, Vaughn 2.16 2019
619343507 Pofahl, Waseem 0.34 2018
619359380 Sarcia, Leonice 1.86 2020
619371361 Principato, Maelys 0.55 2020
619383603 Pew, Gennadiy 2.44 2018
619394716 Sholar, Intissar 3.40 2022
619404761 Kapfer, Lidio 3.42 2021
619413083 Masood, Lutz 1.85 2019
619418272 Nier, Vicentina 1.82 2019
619424534 Tallis, Rosaline 3.98 2022
619439770 Basquez, Shonta 0.42 2019
619451557 Woodell, Tamiko 2.42 2020
619477449 Tichenor, Artem 0.91 2022
619478380 Magrath, Irania 0.66 2019
619486319 Levi, Lan 2.73 2020
619488147 Lambeth, Gorgonio 1.14 2021
619488461 Garnder, Minying 1.70 2022
619490436 Roswell, Borisov 0.58 2019
619514571 Mccarvy, Sokhna 0.02 2020
619541036 Zorko, Liberio 1.33 2022
619552191 Riise, Ouassim 3.09 2020
619569342 Hidden, Rudolph 0.73 2022
619577946 Barak, Maryna 3.93 2022
619594491 Clonch, Nona 1.93 2020
619597247 Buetow, Yara 2.66 2020
619607257 Viernes, Eartha 0.28 2022
619612206 Sagen, Lira 2.89 2021
619612219 Zelkin, Avilio 4.30 2022
619623182 Pamperin, Antero 4.00 2018
619624772 Incle, Erhan 4.56 2021
619629940 Sotelo, Xairo 1.76 2018
619630771 Shomin, Vergie 2.03 2021
619640065 Kerr, Jorge 3.16 2019
619662296 Bent, Gullermo 3.92 2020
619667774 Gornikiewicz, Iuri 4.98 2021
619673722 Milleson, Tamas 2.21 2019
619675853 Dimpfl, Yasuko 0.69 2018
619701564 Hulon, Rihanna 2.67 2019
619702525 Acorda, Malco 3.94 2018
619709181 Turtura, Lupu 1.05 2022
619714259 Faller, Genovaite 1.99 2019
619726614 Sikora, Kiryl 3.05 2022
619730583 Fleig, Shuangwei 2.39 2018
619769527 Broscious, Zhiping 2.70 2020
619773449 Stencil, Batista 1.38 2020
619788494 Tudor, Magalis 3.90 2022
619790040 Kaelker, Laie 3.51 2021
619799542 Broderson, Alaitz 2.47 2019
619803226 Zeidler, Yunjie 3.98 2022
619820048 Rashad, Jialin 3.56 2021
619831869 Suarez, Quintina 0.15 2019
619834457 Beehler, Abbass 4.88 2019
619835807 Mccatty, Cañosantos 1.85 2018
619841262 Mcgarity, Karolina 0.43 2019
619868033 Skoczen, Meixia 0.19 2019
619876505 Sanos, Rashpal 1.50 2022
619876597 Halek, Chu 3.94 2022
619885009 Niccoli, Rolandas 3.60 2022
619894659 Spinney, Lizzie 0.20 2022
619894836 Witczak, Michelina 0.24 2018
619912996 Aldrege, Keely 1.85 2020
619919835 Falconio, Christie 3.64 2022
619919652 Sandhu, Ronni 3.19 2018
619923793 Jhonson, Gergely 0.50 2020
619949127 Woodburn, Priscilla 2.76 2020
619968772 Talib, Mamoutou 0.52 2018
619984964 Gupton, Calasanz 2.32 2019
619987842 Fults, Malva 4.36 2019
619988053 Mccabe, Camil 4.65 2022
619995280 Needle, Homer 0.80 2018
619995211 Bolten, Khamiss 0.38 2021
620008463 Longfield, Alesha 4.34 2019
620018950 Dowson, Ursicino 3.70 2019
620033232 Sama, Wladimir 4.69 2022
620040822 Hodek, Gala 0.08 2022
620055875 Kops, Ralph 1.22 2020
620061373 Coelho, Nelsa 2.02 2020
620064054 Betances, Tadeo 4.84 2021
620078791 Coviello, Dilia 1.51 2018
620081442 Nwadiora, Placer 1.02 2021
620100907 Stredny, Fadil 1.58 2020
620112491 Santaniello, Reginaldo 2.58 2019
620133685 Tahu, Yee 0.15 2022
620133416 Keas, Brahime 2.67 2021
620145883 Barna, Sudie 3.59 2019
620151025 Gerdts, Minervina 2.52 2021
620162151 Esponda, Escolastica 0.99 2021
620178162 Treffert, Marzouk 3.35 2020
620178170 Wolf, Nirmine 2.90 2019
620184621 Rabassa, Leighann 3.07 2018
620185661 Dusenbery, Catarina 1.41 2021
620193999 Gossling, Sparkle 2.86 2018
620211678 Defiguero, Layla 0.53 2018
620212045 Phu, Guillem 1.77 2019
620244750 Hereth, Borja 0.96 2019
620248983 Pincock, Peregrin 3.83 2021
620253967 Lacouette, Wladimiro 1.73 2021
620275214 Bokman, Gerardo 2.87 2021
620315616 Carner, Ambar 3.33 2018
620315910 Zahler, Agurtzane 0.24 2021
620324187 Hackmann, Katherin 2.27 2021
620325001 Nageotte, Xueping 2.91 2020
620329303 Brincat, Abdulah 0.46 2021
620334980 Klipfel, Enio 0.44 2021
620335683 Twedt, Doramas 2.46 2021
620337497 Muskrat, Sellamia 0.48 2019
620343519 Pinter, Abrahan 1.86 2018
620350793 Babilonia, Werner 0.85 2021
620352269 Balmes, Martiniana 0.09 2020
620364894 Perricone, Virginija 2.36 2019
620389440 Sporysz, Qiu 2.84 2018
620403011 Mankel, Joyce 0.10 2022
620414239 Schmucker, Atiqa 3.52 2019
620433758 Jungen, Zachariah 2.63 2019
620437947 Fouraker, Enilda 2.04 2022
620442506 Gerking, Aguasantas 2.36 2018
620444447 Kelleher, Kerrie 2.82 2022
620447106 Demaranville, Emily 2.64 2019
620460283 Lapila, Reita 1.41 2022
620474034 Lamson, Nosa 0.54 2019
620477395 Jarosh, Deivy 0.96 2020
620496946 Fulghum, Garnik 2.25 2019
620498272 Laumea, Xuan 0.74 2019
620504027 Niccoli, Carmiña 2.05 2022
620507618 Mcnutt, Sirine 0.26 2019
620512971 Bartoszek, Suelen 1.33 2018
620516009 King, Emmett 4.69 2020
620526503 Higgenbottom, Lucinio 2.94 2019
620551180 Perkowski, Meike 1.59 2018
620565325 Render, Villar 0.72 2022
620566645 Bedlion, Nicasia 2.76 2019
620578799 Helmkamp, Tiera 2.15 2020
620579031 Sanfelix, Wenwei 0.95 2018
620589195 Dovalina, Choumicha 2.33 2021
620591028 Jorres, Fausia 4.36 2018
620591337 Hemphill, Vadims 2.32 2020
620595677 Estock, Bouabdellah 0.52 2018
620598821 Westmoreland, Urcesino 1.77 2022
620602691 Faggs, Ya 0.24 2022
620609178 Bidgood, Palma 0.32 2022
620610205 Ekstrand, Valdirene 2.78 2018
620620721 Wigelsworth, Bertha 1.07 2018
620624809 Auckerman, Zlatka 1.62 2022
620643839 Beker, Jakelin 0.90 2022
620645544 Dupont, Erwan 3.82 2021
620652180 Kuhnert, Nancy 2.55 2021
620658465 Vuolo, Zulaima 3.84 2022
620660988 Rakus, Haili 4.46 2018
620660425 Mckibbon, Stoyka 3.20 2019
620667882 Goldwater, Karlo 1.34 2022
620676418 Trexler, Gayle 3.38 2018
620707597 Grumbling, Raihana 3.45 2020
620715623 Dannenberg, Seidu 1.33 2021
620719406 Townes, Summer 1.23 2020
620726817 Haboush, Samer 2.14 2018
620739585 Clymore, Edisa 0.43 2018
620747271 Walkes, Lanette 3.89 2018
620761137 Emile, Jagoba 0.93 2019
620761692 Donohue, Elden 3.58 2019
620762808 Brimmer, Lalla 2.02 2022
620766779 Asmussen, Valverde 4.90 2022
620767306 Shaggy, Baya 3.66 2018
620769022 Schutjer, Mengyao 1.72 2019
620773123 Kacynski, Cristina 1.51 2018
620786798 Alken, Liu 3.33 2019
620786607 Slisz, Kemo 3.40 2022
620788077 Orwick, Kimi 1.53 2021
620788715 Dorf, Aleixandre 3.92 2019
620796856 Madras, Mohsine 2.03 2021
620828594 Theunissen, Mohcine 2.27 2019
620843460 Dellum, Urtza 1.81 2018
620847928 Psencik, Estiven 0.75 2019
620859254 Kieck, Yujun 4.29 2021
620863603 Pinelli, Lyndsay 2.25 2018
620865974 Gearing, Taisha 1.69 2021
620879197 Glassburn, Mounina 0.33 2018
620884696 Mcanulty, Voichita 1.20 2018
620902631 Caiozzo, Yulianna 2.42 2021
620914690 Croley, Brittani 2.56 2018
620915825 Heck, Clifton 1.10 2019
620918014 Akard, Amalfi 4.49 2019
620921765 Casson, Beate 1.49 2022
620922574 Audibert, Elicia 1.58 2018
620932641 Crickard, Arnulfo 4.75 2020
620937508 Warnstaff, Imade 1.21 2021
620947418 Bakko, Argoitz 1.07 2022
620949589 Huntsinger, Fu 1.77 2022
620954706 Cale, Rafi 1.13 2022
620960011 Bemrose, Shaista 1.56 2019
620970250 Coutre, Milagros 4.04 2020
620986771 Perkoski, Fuad 2.72 2019
620988180 Yellen, Nora 3.53 2021
620988125 Stokan, Sylwester 1.97 2020
621002845 Bassham, Connor 0.55 2020
621004045 Donaghey, Goretti 2.56 2021
621008125 Muncil, Hortensio 2.28 2020
621012487 Mosty, Alae 0.07 2020
621020235 Cuthbertson, Eustaquio 0.56 2022
621024043 Monaghan, Jesica 3.32 2021
621034736 Mirao, Bibi 1.66 2021
621053436 Cassio, Felicisimo 3.19 2021
621054441 Pastora, Sarai 0.05 2022
621056949 Bruzek, Antia 3.78 2021
621058601 Flesher, Everth 3.19 2020
621063197 Gelinas, Marene 4.42 2021
621063622 Gurrieri, Danelle 3.09 2020
621080403 Deconti, Leola 1.88 2022
621085990 Lykins, Almiro 4.61 2021
621085190 Zarek, Ahmadou 0.20 2022
621087426 Lockette, Rekia 1.52 2021
621091624 Mizee, Liena 3.34 2022
621099586 Bolds, Tamera 1.88 2020
621108657 Ingwersen, Nahara 1.41 2020
621109090 Ragno, Weiqin 1.35 2019
621141179 Sanderson, Domonique 2.72 2022
621153018 Hilpert, Aliuska 2.84 2020
621175121 Moraga, Loaira 2.23 2022
621188210 Depree, Unay 0.35 2018
621214140 Freidin, Mercedes 1.68 2020
621243317 Tomlison, Aleix 3.38 2020
621244643 Boehman, Jagdish 4.67 2021
621246294 Zuber, Janete 2.24 2019
621252615 Garmany, Simone 1.41 2019
621278954 Starnold, Sergey 0.09 2021
621285445 Leonardi, Cassey 0.11 2021
621285114 Lozito, Youssou 1.96 2021
621297977 Garter, Tajamal 4.70 2020
621308947 Deniston, Genara 1.10 2018
621335411 Kopis, Shantell 3.59 2020
621336967 Sen, Yurong 4.10 2019
621338820 Hanley, Naceur 0.68 2018
621342838 Kasal, Sankung 3.60 2022
621353513 Blenman, Jaimeta 0.54 2022
621355821 Hickie, Yasira 3.37 2018
621360568 Pittari, Vasily 2.07 2018
621368868 Tubolino, Solita 4.59 2020
621389279 Soltmann, Eugeny 0.89 2018
621400576 Lorson, Brayan 4.64 2021
