100000
354709573 Devonshire, Andoni 1.35 2020
753905668 Tewes, Bladimiro 0.86 2019
452875755 Baiz, Prudenciana 4.74 2022
508414430 Thorell, Reta 4.77 2021
349116232 Rosen, Izaro 2.59 2018
214264130 Vanwagner, Afshan 1.95 2018
694503823 Ulbrich, Salatiel 4.58 2018
790765060 Randoll, Collen 0.45 2018
847314166 Humbel, Dominga 0.68 2019
237527640 Froats, Sumia 0.70 2019
647044126 Birmingham, Salustiana 4.54 2022
460885557 Haleamau, Lilia 4.87 2021
083173804 Poer, Katharine 2.82 2021
361647192 Jabaut, Kamel 3.90 2018
604358688 Hubby, Kenyetta 4.91 2018
390176559 Pring, Shaneka 1.71 2021
542378768 Daugereau, Dumitru 0.50 2021
977779055 Yockers, Gertraud 1.53 2018
071817496 Luevano, Qun 0.29 2021
027203635 Favolise, Shonna 0.54 2022
711080876 Fiddelke, Onofre 1.29 2022
567132679 Chimenti, Darinka 4.70 2018
964978845 Heidenescher, Dessislava 2.07 2020
133402080 Gerdel, Miledys 4.33 2019
681032330 Lockard, Sekouba 0.05 2021
239858263 Mcclenningham, Yerik 1.53 2018
783842818 Gradle, Elisaveta 3.69 2022
250197379 Muellerleile, Raisa 4.13 2018
093416916 Hackborn, Caleb 4.99 2019
587280027 Lambing, Minervino 0.49 2022
460037075 Personette, Cindia 4.98 2019
114509889 Braccia, Oktay 4.61 2021
127661598 Fambrough, Klaus 2.79 2018
399488375 Arzo, Marcel 3.67 2022
092923326 Hamp, Nefertari 2.03 2019
144961244 Penhollow, Youness 2.47 2018
900212993 Bourgeault, Glyn 0.54 2022
621975731 Hallin, Genevive 3.24 2018
332665369 Galano, Shizue 1.79 2018
291945757 Isaksen, Damiana 4.11 2019
674860235 Hubenthal, Rizwana 1.55 2020
231199816 Ferrini, Belkheir 2.48 2021
845712385 Franeo, Kathe 2.82 2018
167036167 Szalankiewicz, Cielos 1.71 2019
282152612 Lancon, Victoriano 2.67 2018
812328251 Dowlin, Lucienne 2.67 2020
817932950 Ouzts, Yorlady 3.89 2021
636539149 Puhr, Ikhlass 0.96 2018
589579285 Galway, Monia 2.28 2019
011416203 Actis, Boujamaa 0.26 2020
186964240 Semo, Sarasvati 1.08 2021
255262312 Muehlbach, Idafe 1.27 2022
975982404 Filosa, Leonido 0.93 2022
515195264 Souder, Daira 3.43 2018
294731340 Nenni, Parvoleta 1.86 2018
069317996 Femat, Monike 2.71 2020
000609182 Malinconico, Genaro 0.33 2021
364858142 Varro, Faycal 4.56 2021
068547341 Petras, Lisset 0.65 2021
050682730 Agbisit, Eyal 1.77 2022
230998760 Pickett, Selene 1.23 2018
828245282 Beckman, Emmitt 4.98 2021
385100459 Geissler, Baltazar 0.32 2020
784786618 Hibshman, Marc 0.67 2020
547442360 Burreson, Roumaissae 1.81 2020
010534989 Croteau, Meridith 0.13 2018
198876190 Oleksa, Kalidasa 2.27 2021
642860263 Bussler, Sevdalina 2.58 2021
044285905 Cordle, Lyla 0.29 2022
014374554 Alvacado, Dmitrijs 2.95 2020
779064118 Lenhoff, Violette 0.13 2019
231993844 Schillinger, Eddie 2.58 2021
246929714 Delap, Noura 3.43 2018
974561033 Muldrow, Radita 4.68 2020
973819208 Mattie, Floreal 2.18 2022
033243314 Laudermilk, Mounia 1.42 2020
620643245 Rannells, Joerg 2.20 2018
857598266 Castro, Weifeng 1.86 2022
809523479 Zawislak, Oktay 2.27 2021
173650543 Braue, Coleman 1.22 2021
408325663 Duropan, Ariadne 0.84 2018
131345547 Wietbrock, Souhila 3.93 2020
796806423 Burdeshaw, Ousman 1.47 2020
913821496 Betzel, Ruyi 4.29 2018
056475213 Keith, Danel 2.44 2020
022776413 Engel, Sharie 0.57 2020
973931349 Bannett, Chung 4.20 2019
527666109 Dentino, Rosmery 3.02 2021
576646092 Eckerle, Joshua 1.27 2022
662873735 Gutenberg, Maarten 2.99 2020
622321576 Welter, Fengmei 2.53 2019
557939200 Vanruler, Nayla 0.36 2018
609530845 Carscallen, Diodora 1.08 2021
054733350 Notice, Thomas 2.81 2022
945978879 Fasenmyer, Argiñe 0.84 2019
472249731 Eden, Kbir 2.06 2022
863007925 Overturf, Elisangela 3.06 2021
932497776 Sepich, Nourdine 2.05 2021
674622286 Jamesson, Gobrias 0.27 2019
934020510 Fauci, Jorge 2.94 2021
182969663 Moosman, Breann 3.21 2022
989165814 Stroy, Pepa 1.63 2022
176120956 Covarruvia, Petya 3.19 2018
892104690 Nannen, Dulcina 0.94 2021
403535440 Seabrook, Ayub 0.54 2020
254174329 Marabella, Neyla 0.75 2018
443250175 Mursko, Nancee 1.92 2019
077243417 Vranek, Kais 3.41 2021
685653711 Cruzen, Abdennasar 0.73 2022
207545946 Buse, Falk 2.62 2019
039587067 Frech, Khatri 4.40 2019
928499397 Daubs, Anatoliy 1.21 2021
901117568 Juve, Hudaifa 4.00 2022
891619100 Clenney, Leonisa 1.92 2018
073904355 Buskirk, Despina 0.60 2021
003192963 Hegland, Falak 1.75 2019
863543169 Carlton, Carminda 0.86 2019
955245025 Cudd, Liudmyla 2.30 2018
562962100 Maleck, Florentin 3.75 2019
851399478 Delossantos, Kamo 2.66 2019
747444080 Mclarty, Roxann 1.06 2022
318247517 Antolin, Meryem 1.41 2018
563326265 Stingley, Marcus 4.16 2022
093218384 Lamanna, Valerijus 3.32 2021
782049373 Desper, Layne 3.27 2020
068367376 Leuck, Aifen 4.00 2021
699977976 Laquerre, Prudenci 0.81 2022
509181743 Creese, Eduart 1.50 2020
612729866 Lauwers, Serafina 1.44 2019
414717684 Bladt, Cilene 2.24 2021
360128443 Durda, Fayrouz 1.61 2020
847083258 Wubbel, Fabiane 2.63 2022
508444353 Sanderford, Camilo 3.58 2021
230308556 Cashwell, Xerman 0.09 2018
559336247 Vandesteeg, Nouhoum 2.84 2021
597067510 Latimer, Hammed 4.09 2022
958089204 Lahman, Eliecer 4.05 2018
904719949 Reuer, Valorie 2.33 2021
612465110 Miano, Fode 1.41 2020
042214834 Brinkley, Cherie 1.51 2022
382832249 Patmon, Concordia 2.61 2020
486917858 Crom, Mariella 0.40 2021
074483013 Livingston, Jesper 0.10 2022
902485940 Reher, Gitte 4.09 2019
331671510 Colier, Siricio 0.93 2022
511587501 Holzhueter, Ivo 1.51 2020
029082801 Trisdale, Minghui 1.47 2020
459653714 Manganello, Sheree 4.89 2022
004631831 Simser, Zamira 1.61 2021
603580537 Gunagan, Hadiya 3.21 2019
614710222 Bran, Saliente 4.71 2019
047678913 Vayner, Aryan 1.86 2019
369077047 Bocek, Deetta 4.32 2022
300630249 Hesters, Zijian 4.60 2018
620989019 Berglund, Marquitta 2.40 2022
355610566 Flinton, Nathaly 4.02 2021
222011888 Clakley, Madjid 0.42 2019
059323192 Bert, Campio 1.19 2019
552365045 Luginbill, Mahieddine 0.15 2019
268117704 Burbach, Doreen 1.67 2022
497980522 Bramley, Esther 4.03 2020
431541735 Albu, Jaled 3.60 2019
501962219 Agonoy, Jemma 1.57 2021
639349662 Icenogle, Valme 2.94 2022
818757815 Weitz, Lacy 1.30 2021
698104130 Hosterman, Cleto 1.06 2020
371591444 Prestia, Graziela 4.63 2018
249869722 Catholic, Irwin 2.98 2019
092500011 Faurrieta, Odalys 3.85 2020
987831997 Manbeck, Livio 3.58 2021
889808164 Swirsky, Manish 1.88 2020
809388487 Mcclatchey, Motserrat 0.38 2022
111838722 Heaivilin, Humildad 2.79 2019
755770609 Ertle, Azeddin 1.95 2021
424899180 Relic, Joanne 2.83 2018
355778121 Houska, Elisabeta 3.87 2022
829707154 Finegan, Sakina 1.65 2022
954063334 Micali, Ismaila 2.56 2018
626690958 Granados, Anri 0.47 2021
702973565 Martinkus, Elene 0.62 2022
540283102 Boast, Elvina 3.85 2018
288354808 Mosimann, Machelle 3.65 2021
524854590 Vancise, Suzann 1.85 2022
013858671 Reichhardt, Yer 0.40 2021
664327400 Hoback, Guoping 4.38 2020
336360321 Lado, Grigory 2.52 2019
901995759 Epperly, Martynas 3.59 2019
110130473 Odgen, Meizhu 2.77 2018
417358573 Rickard, Amabel 0.27 2018
541639681 Orce, Nancey 2.30 2020
949739487 Cordone, Shaohua 3.20 2019
206668255 Marchesano, Terencio 2.37 2022
500446064 Adsit, Mehmood 0.20 2022
049095553 Tonnar, Yakoub 4.44 2021
715726719 Chesson, Ezequiela 0.36 2022
636569936 Oeltjen, Abdenour 4.62 2019
739313881 Marcello, Scottie 0.97 2021
655537419 Athans, Pasqualina 2.16 2020
933723866 Gire, Della 4.34 2019
998287721 Chavera, Kamel 2.01 2020
993672227 Hindmarsh, Choudhry 1.37 2022
153080362 Lippman, Gigi 1.85 2022
534605591 Jurgenson, Guayasen 4.40 2021
595705983 Fantasia, Adulai 3.03 2021
976875175 Nebel, Ninoska 3.66 2018
411952252 Cristelli, Lyndia 3.61 2019
388231171 Fyfe, Niceforo 4.08 2021
296325224 Zachar, Pacifica 3.22 2021
732039237 Rardin, Amsatou 2.75 2019
462441798 Pitcherello, Kiryl 3.44 2020
608323143 Robinson, Yonaida 3.23 2019
590821810 Ito, Hendrik 4.43 2022
994907134 Baris, Sahila 0.16 2021
413956685 Kinzel, Tito 3.33 2022
528824516 Deerman, Jesika 2.71 2022
270399747 Levander, Bastien 0.67 2020
103765786 Lowden, Hasnain 1.86 2019
142524704 Boutros, Franciscus 1.61 2018
803946965 Farm, Nicolasa 2.08 2018
571788378 Aldrege, Iliana 4.99 2019
333096905 Waide, Victorio 3.12 2018
805236408 Caravella, Yanara 4.44 2020
378679208 Scovel, Xuyan 3.76 2022
416767151 Pesiri, Dalal 3.85 2021
418487897 Pirillo, Khawla 3.01 2021
855007849 Grubman, Monir 0.00 2020
566193464 Mcanally, Sarahy 4.54 2019
967511623 Brezeale, Xiaodan 1.43 2018
942710213 Mcluckie, Lizzette 2.09 2022
217439320 Ramone, Hongbo 0.12 2022
437794784 Rayas, Crispin 0.89 2022
537549946 Molett, Kuldip 2.65 2021
111305955 Salguero, Aridane 3.84 2018
805956950 Croley, Bixia 4.52 2022
150897369 Lubinsky, Cleia 4.11 2022
868299265 Mullings, Mari 4.65 2020
666975957 Thiebeault, Benno 3.12 2020
778025343 Murcko, Tonita 0.81 2021
905673033 Meddaugh, Syuzanna 4.05 2022
066446860 Garding, Aroua 2.36 2022
385771458 Finke, Lanie 4.38 2019
821631760 Gitto, Olas 3.24 2018
628959370 Lovely, Myrl 1.65 2019
360739002 Lambrakis, Hanae 4.53 2020
160920972 Giovanni, Bula 2.40 2022
633182910 Preciado, Yannick 1.12 2021
975332801 Kawachi, Xuzhen 1.07 2019
595381883 Hibshman, Celena 2.00 2022
369606624 Kleppen, Christophe 4.44 2022
426002865 Chatampaya, Diva 2.23 2018
151597348 Ludke, Ezio 0.19 2022
347212785 Khemmanivong, Elmer 0.66 2018
806321825 Minturn, Renier 0.57 2018
292645407 Blaha, Damaso 4.08 2020
826077629 Bradeen, Rusudan 1.39 2018
633222354 Katra, Volodya 1.40 2022
728044613 Chesbro, Sanjuana 1.78 2018
946040705 Perrett, Hongjun 0.31 2022
598181189 Steinbauer, Lucian 4.70 2018
091865252 Bambacigno, Lhoussine 4.87 2018
376881407 Retherford, Eli 0.66 2020
971434546 Gladle, Tiziana 1.24 2022
220986629 Patrum, Geza 0.36 2020
377837886 Kearley, Sabiniana 3.44 2022
998028046 Hogsett, Escarlata 4.65 2019
336323304 Cowick, Mi 2.13 2019
522518647 Windschitl, Haimar 0.78 2022
659884870 Toves, Mohsine 2.69 2018
250557796 Angove, Jaume 3.91 2020
733236496 Hobock, Paz 3.86 2018
929885260 Tugwell, Canto 3.51 2019
910480354 Berum, Celine 4.37 2021
118146688 Solorsano, Jaafar 3.52 2019
772120286 Seppi, Nelso 0.16 2021
642685448 Senft, Nele 2.27 2020
517287290 Labat, Sidonia 2.20 2019
671582281 Beechum, Zulmira 3.85 2018
515622030 Rewis, Yurik 1.18 2019
090496848 Fuerbringer, Dioselina 1.69 2021
522118124 Klassen, Arnas 1.16 2020
200248904 Baranski, Donaciano 2.91 2019
953990925 Bania, Lindalva 2.42 2021
431299959 Bascetta, Silvie 4.31 2020
080459107 Tuley, Osas 0.04 2020
058644082 Capparelli, Viorica 0.40 2020
858184139 Tedrow, Ludovico 3.41 2019
072368763 Egge, Cherkaoui 3.93 2020
969244832 Derion, Xiaoyang 1.23 2020
519454729 Briggerman, Quiliano 0.98 2022
173582922 Lambeck, Krzystof 4.17 2021
541680589 Woiwode, Dieter 4.44 2019
161029335 Lampron, Ghulam 0.21 2022
086273374 Burkowski, Wava 1.88 2021
627744515 Palka, Fabrice 3.12 2019
403554159 Hercules, Ina 1.42 2019
147272820 Calix, Lambert 1.09 2021
658375265 Kesselring, Jerry 0.09 2020
244483733 Maughn, Ba 2.73 2021
283416603 Voorhees, Aristide 0.50 2019
061981575 Gnabah, Abdelhay 3.19 2019
487467831 Boesen, Hermelo 4.22 2021
159947924 Merner, Cristine 0.02 2019
264257049 Cotreau, Lech 2.05 2021
746000883 Montalto, Izei 1.62 2020
600250335 Astry, Camille 3.40 2022
909539115 Kalley, Celedonio 1.22 2021
221692160 Belton, Cristabel 0.75 2021
517505541 Blockmon, Diane 3.51 2021
769311741 Puzio, Layla 2.66 2021
792741692 Bussink, Voica 0.27 2020
081309787 Cayetano, Fiamma 1.26 2022
002173241 Waggy, Albaro 4.15 2020
981199975 Pesola, Marceliano 3.49 2021
115689794 Keene, Suri 2.92 2022
568250957 Hohenbrink, Jianxiong 2.26 2022
121039826 Tarrance, Miryan 0.59 2018
908791504 Standlee, Todorov 2.88 2019
684415195 Sneary, Yokasta 3.01 2020
245706268 Benway, Mati 1.25 2022
042171736 Weeden, Texenery 2.57 2019
107629164 Flenner, Justiniano 0.33 2020
057755831 Limbaugh, Yifeng 4.55 2019
870514908 Luikart, Gustau 0.49 2022
110807425 Fridell, Rune 3.72 2020
451918854 Tarvis, Santisima 4.22 2018
165032586 Zwinger, Victorina 2.59 2021
713811355 Ander, Warner 1.85 2021
688378182 Ginder, Loree 2.92 2022
379148475 Driesenga, Aina 2.19 2019
274520176 Modzelewski, Mahjouba 2.54 2020
652795251 Satterlund, Filadelfo 3.74 2021
800088415 Eberhart, Kontxi 3.34 2018
112341733 Mingle, Steliana 4.46 2020
049610955 Piccioni, Aladina 1.68 2022
012858831 Sensel, Dembele 2.40 2018
479731502 Penigar, Maksims 3.51 2022
270873290 Kincade, Heraclia 4.31 2021
332150128 Morriss, Yaxin 3.18 2022
962483070 Roefaro, Milady 2.79 2020
283924008 Kugel, Jemma 2.08 2022
516927241 Adleman, Sandi 1.42 2022
874449417 Emch, Silmara 1.37 2020
449375484 Westphalen, Manol 0.63 2019
242994233 Murriel, Ayda 4.29 2019
989483306 Krumwiede, Germa 1.37 2018
982119057 Vandenboom, Lyndia 3.39 2019
571932844 Fisette, Araya 1.95 2018
169294052 Parara, Pilare 0.18 2018
052865388 Carland, Lasha 3.13 2018
357986758 Yoshihara, Arantxa 0.78 2022
518217809 Showes, Aundrea 0.37 2020
831366514 Coran, Ajmal 0.99 2019
169273132 Hornbuckle, Maksim 1.17 2021
642165796 Ambagis, Yudi 0.08 2018
179601025 Zukoski, Aomar 4.22 2022
104522287 Bonnot, Zelai 1.21 2022
447506906 Hagar, Shizue 4.64 2018
733012612 Beyke, Drago 4.97 2018
709611126 Komara, Valentino 1.43 2018
704237081 Pekarek, Regino 0.54 2019
892084692 Mullin, Esmeraldo 2.99 2018
085539046 Helbing, Anta 2.77 2019
231079477 Stelmach, Abdennour 4.55 2022
379313406 Enockson, Exie 0.32 2018
163002332 Accetturo, Khadidja 0.42 2020
960558738 Kuzminski, Ghalia 1.00 2019
637920198 Rodas, Fiz 1.13 2019
458903201 Orvis, Porfirio 0.48 2018
990298952 Hurter, Olivo 0.54 2019
109837196 Shaheed, Houssien 4.76 2019
941890296 Augusto, Aitziber 1.11 2019
686839117 Zets, Barbra 3.35 2020
226722489 Dolder, Mikki 3.09 2019
856632573 Womeldorf, Odell 3.47 2019
161196722 Deluccia, Haidar 3.29 2019
251739477 Valerino, Cassy 1.44 2022
991375717 Mabe, Zhicheng 0.51 2020
931474945 Pitfield, Farooq 4.88 2022
304682459 Gutoski, Wesal 1.22 2020
756893617 Mcmillin, Evilasia 1.57 2021
422094869 Michael, Mfedla 4.90 2019
608698627 Frisbee, Leandre 2.03 2021
773909659 Lambros, Armine 1.66 2021
852835040 Ulcena, Sanson 3.06 2018
990637262 Selby, Belhaj 4.06 2020
961472990 Schlotte, Harriette 2.87 2020
026460561 Pollio, Tone 4.32 2022
276476838 Hemish, Jianrong 2.80 2018
332492501 Seepersaud, Tawna 0.13 2021
185524341 Cerbone, Walkiria 4.48 2018
935478583 Bogan, Messaouda 1.03 2020
770679614 Nielson, Leomar 4.74 2018
403069742 Huntsberry, Otha 4.90 2019
544610109 Hershelman, Stefaniya 2.79 2022
117077681 Doil, Eliria 1.11 2019
417279193 Wolske, Norayr 1.35 2019
513870591 Clowser, Davor 2.53 2019
856243915 Cione, Lukman 0.58 2020
759337039 Assing, Carlito 0.56 2021
295862579 Meczywor, Evans 4.18 2022
667845510 Lanes, Dwayne 3.65 2021
674833446 Kalama, Airi 0.01 2018
435439078 Burruel, Haja 3.81 2022
966208519 Zincke, Valdir 4.87 2021
170173869 Roach, Esperanto 3.16 2022
959426351 Demars, Llibert 2.73 2022
882275757 Maurus, Wasim 0.07 2018
549147855 Fellon, Shijie 2.62 2022
635250880 Marrufo, Yuemei 4.68 2018
041178980 Varady, Syble 3.65 2021
178158105 Lotthammer, Kirilka 3.99 2021
769684940 Goodnough, Yeiko 3.03 2019
625383178 Arebela, Zehra 0.46 2020
498180518 Hainsey, Khachik 0.94 2022
327390475 Besarra, Phoebe 1.42 2021
278872983 Cheverton, Melibea 2.17 2022
350531237 Bursell, Eñaut 2.65 2018
079461748 Ashwood, Tamsir 2.60 2021
240481060 Ketcherside, Andre 0.67 2022
393207531 Aurelio, Reinelda 3.90 2018
308632673 Barkalow, Maider 0.51 2019
092957011 Zagrodnik, Boukhiar 0.99 2021
628269033 Svec, Eugeny 2.96 2018
069544252 Basil, Rilma 1.68 2018
676597883 Stlouis, Qiumei 2.37 2022
430919024 Yancey, Souhaila 4.47 2021
033115945 Turnbill, Ivete 2.45 2018
728870027 Klevjer, Aundrea 0.04 2019
479051307 Moribayed, Airam 1.49 2018
091313408 Ticknor, Aurimas 0.57 2021
009014577 Maenner, Esteve 1.90 2022
322564477 Candler, Rizwan 4.00 2019
726248760 Usman, Antea 1.92 2022
782664226 Groman, Camilia 3.03 2022
541446599 Ruffaner, El 3.91 2020
180051195 Slye, Soubiha 2.95 2018
979842271 Oleveda, Jamileth 3.00 2022
328552372 Cuestas, Saray 4.74 2019
307492363 Ponds, Iudistira 0.15 2022
829134544 Forbus, Cai 3.74 2022
460010361 Kridel, Nivia 4.80 2021
735577778 Pollett, Aminta 1.09 2019
408838552 Lysher, Mariuta 2.67 2018
787125210 Vignola, Serigne 0.38 2019
311319368 Wien, Iordache 1.89 2018
071027586 Valant, Ailyn 3.19 2022
209717103 Tobey, Haroa 0.64 2020
955415938 Wallberg, Nevada 0.65 2021
399105880 Iffland, Adulfo 3.79 2022
763382660 Holtzclaw, Nicoletta 1.79 2019
837496459 Grodi, Rosalvina 4.64 2018
828332116 Divens, Reinelda 2.47 2021
948824079 Danks, Reinel 2.40 2019
936291851 Baugus, Dean 3.01 2022
915870908 Embleton, Jemma 2.54 2020
391033326 Craib, Shahida 0.29 2022
802450514 Pridham, Cleuza 4.89 2021
551501292 Tognazzini, Ovidio 2.80 2020
603176490 Conrow, Salomon 1.46 2019
727322450 Vivas, Isaac 3.94 2019
184175085 Moribayed, Yifan 0.06 2018
624286702 Brousseau, Naira 1.90 2018
399485377 Isagawa, Armin 4.71 2020
992841481 Salvatierra, Shella 4.79 2018
120483211 Kanemoto, Irea 1.11 2019
823514155 Krakowiak, Victoriano 3.91 2020
685453214 Alberts, Fausta 0.19 2022
443231518 Roberto, Surama 0.61 2021
880240909 Armster, Jacqui 4.55 2022
404470026 Chopra, Wanita 3.16 2020
996147157 Volk, Terenciano 3.23 2022
202004417 Maccheyne, Bakary 2.67 2020
517561756 Michaels, Anjara 2.41 2019
826922884 Difranco, Arlet 0.02 2021
913397439 Pedroza, Shaneka 1.72 2020
055102384 Charlson, Laverne 0.12 2019
592969275 Hushon, Seba 3.43 2022
094190604 Joma, Pantaleona 4.84 2019
107342486 Kitamura, Mihalache 0.06 2019
057248408 Constant, Anel 3.09 2022
731007318 Duperre, Alanis 3.92 2019
634153259 Bega, Nelba 2.38 2019
119010009 Nusser, Helia 0.45 2022
160893196 Traverso, Sherley 2.57 2021
688810716 Tackitt, Nelya 4.50 2022
695168603 Gagliardo, Maverick 1.81 2019
511615934 Cirino, Yaco 0.99 2021
793434354 Roessing, Maninder 0.95 2021
589396705 Hronick, Camillo 1.06 2022
160680452 Engelmann, Gilberte 2.76 2019
744476245 Steinhoff, Aurang 4.16 2021
531949821 Loose, Lidio 3.36 2021
544508370 Rudick, Leidy 1.18 2021
491377906 Basquez, Richar 0.81 2021
323072906 Antaya, Ian 2.47 2020
337795530 Boisselle, Janire 0.81 2020
440876980 Zawadzki, Mena 1.44 2021
079279232 Haverfield, Evelyn 0.89 2022
534791345 Kuehnert, Julieann 4.24 2021
308658955 Berganza, Abdelhanin 1.62 2019
966347238 Blady, Naufal 1.18 2021
009198228 Morale, Aichetou 4.56 2018
998118493 Henery, Polly 3.04 2018
423045024 Obenauer, Eulogia 3.53 2019
865122799 Gamet, Abdesalam 4.56 2019
093437054 Mounts, Arlie 2.13 2022
374655123 Orrison, Lyndia 2.57 2022
254423555 Weyrick, Merlinda 3.91 2022
198309941 Crivello, Pasqualina 0.28 2020
458955528 Mandelberg, Zhiwen 2.51 2019
726081101 Pillow, Shumei 1.43 2022
165898572 Dooner, Giorgi 1.00 2021
234304047 Sookoo, Atmane 1.62 2018
088883332 Iriarte, Bassou 3.52 2019
556871075 Shreckengost, Mirko 2.88 2022
139334874 Segrest, Saly 4.08 2018
639219770 Berez, Zulfiqar 4.14 2021
844510967 Harnois, Geovanni 1.99 2022
889806562 Carron, Casta 4.49 2021
020291540 Herms, Sylwia 0.40 2019
675462189 Stallbaumer, Islenska 4.10 2019
770492182 Parrillo, Aiko 2.48 2021
071176276 Nosacka, Leomar 0.20 2019
289244699 Escajeda, Mahah 1.49 2020
648471382 Pahk, Eloisa 2.29 2022
789738549 Cornacchio, Rachal 4.66 2022
358637242 Silence, Andima 4.57 2018
245041428 Eastridge, Ibrahin 1.00 2020
860570407 Amsley, Emerida 0.86 2020
215878347 Boedecker, Hala 3.79 2018
200804093 Alsandor, Nadiya 3.77 2018
602852958 Fyfe, Cristal 0.97 2018
305102850 Keetan, Xiaoying 4.84 2021
645977271 Tellman, Margarito 4.47 2019
562001973 Ecoffey, Domingas 2.06 2021
204721274 Maletz, Nancey 2.23 2020
770861901 Ferraro, Heba 4.80 2020
812892482 Warn, Natalja 1.77 2019
201800865 Sellen, Vasilica 4.76 2020
684341140 Sones, Scarlet 4.26 2022
605579107 Erskin, Wijdan 3.51 2022
317659391 Raef, Mekki 4.78 2018
625441786 Scarbro, Aleix 0.05 2020
380145205 Rayyan, Jeramy 3.61 2022
810810622 Tameron, Bruce 1.52 2019
426790166 Helbling, Sharie 0.64 2022
316029318 Bigsby, Nita 1.23 2022
244505480 Lurtz, Kamel 3.72 2019
690955014 Utley, Bera 5.00 2018
641474664 Bulisco, Mfedla 3.14 2019
903159722 Mahaley, Edite 4.53 2018
659337897 Whisker, Nikte 2.93 2019
250190460 Dewese, Aleksandrs 3.49 2022
563675785 Tojo, Rafel 2.54 2019
416887226 Mccrate, Pool 4.56 2020
148271529 Homs, Bei 0.65 2019
907072254 Mousel, Banesa 0.89 2019
270559390 Dayan, Safdar 3.90 2018
122613158 Ortic, Brenna 4.44 2021
139727373 Tatsak, Joselyn 0.44 2020
204517866 Kakani, Varvara 4.48 2018
039137183 Goldin, Nacera 3.74 2022
525574681 Coile, Biljana 2.21 2022
551589666 Maxey, Txomin 1.45 2018
588730677 Patoine, Ilinca 4.47 2019
055989106 Esfahani, Monnie 4.76 2018
302353197 Seller, Sanjuanita 2.46 2019
036676200 Swenor, Anette 3.24 2018
565670034 Britschgi, Anunciata 0.50 2020
343658565 Gaultney, Rosimeire 0.95 2018
907974718 Kiker, Erling 3.26 2022
602834545 Heggs, Graciano 1.48 2018
645381157 Liebherr, Adel 1.27 2019
932822548 Griesinger, Frode 4.82 2022
902390121 Bel, Higinia 3.58 2021
717361775 Meyerott, Reymundo 0.02 2022
036161706 Alberda, Xinyi 4.42 2019
993288998 Luague, Leilei 0.77 2022
692789852 Harbour, Mencia 4.47 2021
358450247 Argrave, Gamal 2.34 2018
853306217 Maximo, Arquimedes 1.17 2018
874038079 Lichtenberg, Rubina 2.79 2022
571979230 Tamburino, Asif 4.55 2020
421568329 Lane, Landelina 2.73 2021
060008941 Mowell, Cancio 2.87 2018
654685326 Lintner, Lhoussain 1.64 2020
862522386 Memory, Olivier 0.65 2020
266844089 Byrley, Omar 4.93 2021
327127947 Ketcheside, Jochen 1.39 2021
890202875 Beeching, Lilibeth 0.40 2020
155142833 Hinsey, Akvile 3.95 2022
893571549 Labbadia, Josef 3.07 2019
260287457 Vito, Erundino 0.34 2018
551024463 Struthers, Saleh 4.04 2019
373133168 Dennis, Set 4.47 2019
938970740 Stahlberg, Craciun 1.57 2019
006764478 Ottogary, Zoe 0.62 2020
107120536 Baccam, Alpha 2.21 2022
117856937 Lashutva, Giani 3.37 2018
712725595 Lenhard, Titus 2.70 2019
087485548 Karnish, Gianni 1.41 2020
822610752 Simiskey, Hayden 0.54 2020
709161506 Sugalski, Jan 2.18 2018
877762812 Schellenberg, Yuly 1.88 2021
655749172 Kyllonen, Yenai 1.24 2019
280487402 Depass, Aurembiaix 4.32 2018
964088311 Moehle, Mouhamadou 2.02 2020
857387246 Brede, Rumen 2.52 2021
098508021 Cannata, Nuvia 3.62 2022
031509700 Pacchiana, Lilica 4.06 2021
640362812 Mulhern, Juliann 2.75 2018
601866356 Crespin, Ndiaye 3.38 2022
831227710 Zaic, Germania 2.41 2021
119042311 Shibata, Yola 0.67 2020
054242113 Deroy, Hichan 2.73 2022
014196090 Craveiro, Agatha 2.65 2021
690406073 Pilsner, Desamparados 4.28 2021
953483813 Blyler, Montemayor 3.48 2020
255309071 Drought, Edris 4.48 2019
264465370 Hunsley, Damary 3.98 2020
506812355 Tatsuta, Basit 3.19 2021
506693767 Bortle, Andera 1.95 2020
405280269 Mckimmy, Alesandra 4.08 2020
625740419 Stovell, Xiaohong 0.69 2020
073437856 Meinhard, Bikram 1.39 2022
679130822 Vantol, Fontcalda 2.41 2022
644961342 Draa, Alegria 4.06 2020
898851038 Kallenbach, Tegaday 4.67 2020
467770136 Ramesh, Yuhao 1.36 2022
040616362 Vanwhy, Eufrasio 3.35 2019
564724712 Mullens, Sarah 4.31 2021
984415020 Kazan, Tubal 2.62 2020
656068334 Splitt, Ghali 4.43 2022
568622798 Molz, Aynoa 2.81 2018
915140472 Macklem, Eugenia 4.57 2019
503601574 Uzun, Guomin 2.21 2019
550699206 Thrope, Fatih 4.38 2022
554068016 Koutz, Orbelinda 3.62 2018
897747800 Retchless, Astrid 4.05 2020
174261140 Otake, Sebastien 1.22 2021
961377096 Erb, Shaila 2.53 2021
387869059 Markette, Anatalia 1.62 2021
826610011 Saffer, Deidre 5.00 2022
786149818 Davise, Abdourahamane 2.68 2022
287042428 Somerset, Ademir 0.63 2022
284608529 Honch, D'Arc 4.13 2019
336456264 Nygard, Ferruccio 1.10 2020
403419211 Ravo, Haiat 4.03 2019
