100000
852415188 Landavazo, Huiying 0.05 2020
717421434 Serfoss, Elida 4.56 2022
350289061 Langridge, Martiria 3.46 2020
851722804 Canedo, Fang 4.74 2022
443257869 Kurrie, Erina 2.97 2018
838906811 Diemoz, Junxi 4.09 2021
834121924 Verbeke, Oristila 4.14 2022
633583939 Sees, Abdelaali 4.07 2020
115306500 Friley, Benigna 3.77 2022
772053030 Puccinelli, Masiel 4.13 2018
830295076 Diazdeleon, Bhagwan 4.73 2021
145164230 Ukena, Ned 1.48 2022
565050436 Yeaman, Eldora 1.88 2021
765627471 Glasow, Vyara 4.83 2022
358122992 Coultrap, Magdalene 0.13 2020
957835547 Eversley, Lillian 4.65 2019
170763130 Scheidegger, Yago 1.89 2018
600285021 Roede, Frode 2.20 2021
320856811 Zeltner, Gregor 1.67 2021
012508250 Maruca, Gutier 4.53 2020
334942539 Coro, Melquisedec 3.94 2022
723263796 Pachla, Mudassar 1.25 2021
222036244 Klipfel, Yisel 2.66 2021
423260993 Schwier, Rafila 3.76 2022
052485526 Goodale, Conversion 0.33 2022
515836606 Dubree, Nahuel 4.09 2019
692829525 Steitz, Leomar 1.59 2019
050407134 Afshar, Maryellen 3.43 2019
599060681 Felico, Ettie 2.33 2022
414467736 Enstrom, Yoana 3.57 2021
591839006 Baldo, Raveca 4.99 2021
258786700 Fulkerson, Haizhen 3.16 2019
235003171 Fitsgerald, Yilian 2.48 2022
344517931 Mazin, Volha 3.40 2021
374656153 Chamberland, Myrtis 2.57 2020
932912085 Blackner, Ralf 4.39 2021
486333105 Wolley, Delio 1.38 2020
785634410 Remos, Aleen 2.54 2021
723734873 Jenovese, Gohar 4.66 2018
092001013 Saurey, Ludivia 1.31 2020
197260290 Manigault, Abdelghafour 0.94 2021
763103171 Servin, Aimara 4.03 2020
639154491 Vajnar, Julisa 2.20 2020
105752401 Pals, Xena 1.00 2022
127216457 Kulpa, Bety 4.16 2018
210987387 Poremski, Jianjing 2.63 2022
704414312 Masur, Ardell 1.66 2020
788254645 Aldous, Cori 1.01 2019
262569478 Sodano, Magdalena 4.38 2021
993504545 Keezer, Petre 0.10 2020
396834073 Liner, Normando 2.21 2020
602776574 Ziernicki, Inacio 2.04 2019
695105457 Souvannasap, Emely 4.93 2022
046676479 Sjulstad, Wally 3.27 2018
800065481 Gebert, Robbin 4.18 2020
040659510 Hermosillo, Dahane 1.99 2021
069841883 Matteson, Jaquelin 2.15 2019
306910569 Harlem, Mariuta 1.94 2018
099172811 Heirendt, Jinan 2.63 2018
542997370 Thury, Wim 4.72 2020
942324601 Vanruiten, Yurany 2.87 2022
737612700 Paet, Anamaria 1.84 2021
977371966 Konen, Xiaohua 1.17 2021
527424999 Kulesa, Arancha 2.11 2022
657285728 Siskind, Ta 4.07 2019
297027419 Jockers, Odei 2.25 2021
960931570 Yablonsky, Caleb 0.52 2021
784719659 Esmiol, Jacquie 2.70 2021
136784966 Proulx, Kiley 4.97 2022
111877571 Fricker, Mannana 3.10 2019
954977602 Dettling, Lhoussine 2.56 2021
175950509 Boren, Suria 2.43 2022
429265515 Erikson, Qing 3.64 2020
716896041 Lampp, Monserra 2.88 2018
797672573 Mccoulskey, Mandie 4.49 2021
729167918 Caldron, Ashwani 4.80 2022
117210991 Rhodd, Deanne 1.97 2018
238229905 Wal, Eligia 1.27 2018
194710696 Athay, Jovanny 3.69 2022
667114899 Lamattina, Zhiming 2.52 2022
451346985 Mey, Ansou 4.45 2019
442671473 Hodgeman, Landelino 3.96 2020
263124446 Belliard, Solutor 2.44 2018
147969530 Holshovser, Yahima 1.31 2021
680034017 Nagy, Alianza 2.93 2018
097146324 Defayette, Sancho 1.96 2018
037491389 Artis, Fadwa 2.31 2019
895549235 Weiand, Caleb 3.67 2022
614116818 Gildon, Fedra 0.59 2022
399948254 Karsh, Ruggero 3.34 2019
575107664 Rojos, Severo 1.34 2020
100758903 Brightful, Nor 1.28 2022
118845362 Laforrest, Rishikesh 4.64 2021
590551825 Satawa, Sharie 2.60 2021
504293110 Severin, Lingyan 2.37 2019
904922711 Riedman, Coleman 3.80 2018
382612140 Karge, Thelma 3.36 2021
884373196 Hartery, Hecham 0.45 2019
877655724 Eimers, Chuan 3.97 2022
746807115 Kottman, Melvina 0.13 2021
548439778 Jacksits, Argeo 3.85 2019
352550505 Mangels, Troy 1.21 2019
701114575 Caughron, Dimcho 0.28 2021
704657183 Shinney, Sibylle 4.27 2020
638160869 Binette, Renna 2.59 2020
864393054 Pichette, Zohair 0.16 2022
369647636 Waide, Sameiro 3.86 2018
865949686 Carney, Iveta 3.52 2019
518852001 Gadoury, Moriba 1.44 2022
070958020 Wiker, Naim 4.43 2020
535009347 Crete, Jiali 0.37 2022
993004425 Feyen, Radostina 0.03 2021
024142816 Bogdanski, Anait 2.31 2022
276873094 Fousek, Julee 3.26 2018
176012342 Manoso, Youlanda 0.91 2022
390311346 Vancleave, Olene 4.39 2022
220459538 Riedy, Sahira 3.55 2019
377500098 Roberson, Zsofia 2.42 2018
254046520 Tranmer, Feiyan 2.86 2020
702142269 Kilcrease, Mostapha 0.60 2019
544314856 Chorlton, Asher 1.66 2018
622913893 Hoard, Andres 1.48 2021
695208671 Rody, Laritza 1.40 2019
976090184 Mosco, Dedicacion 1.41 2021
246655991 Blandon, Adoracion 1.49 2020
821997266 Lotta, Elois 3.90 2020
412521697 Lamarch, Andry 3.48 2020
860104180 Lunney, Stiven 0.93 2020
844355914 Galipeau, Kemal 3.14 2019
470002531 Hurdle, Formerio 1.33 2021
449510148 Barrio, Borjas 2.46 2022
837244292 Mcconnel, Violina 3.43 2020
377992011 Rumbolt, Varsha 3.08 2018
241987484 Dark, Ninbe 1.37 2018
616490829 Laport, Anuar 0.50 2019
240574590 Girillo, Velina 2.11 2021
783315042 Volmink, Yelina 1.83 2018
187388609 Olah, Altair 2.21 2021
008292033 Gogan, Columbiano 2.12 2021
605826817 Loflin, Heiner 0.72 2018
282244669 Barson, Chao 4.50 2018
582092532 Aquilino, Erasma 2.42 2018
295685494 Dasilua, Bianka 0.94 2022
422510994 Vasconcelos, Suyun 3.53 2020
031854479 Fronce, Ivonete 4.92 2021
095536241 Withington, Meagan 0.32 2022
860330858 Eskind, Catherin 2.44 2020
136968786 Spika, Dmytro 4.80 2019
204892405 Konkol, Yongjian 2.88 2020
621244643 Boehman, Jagdish 4.67 2021
340785844 Dunklee, Aili 4.11 2020
388832447 Liao, Aracely 3.89 2022
927063199 Ruse, Kane 2.83 2022
487957527 Meager, Empar 1.64 2022
443647348 Whitmer, Maamar 4.57 2019
473527271 Tantillo, Si 0.38 2019
207737132 Mcsharry, Clinton 1.35 2020
260624122 Cools, Dimitra 2.63 2018
988473958 Mccole, Fletcher 1.83 2020
242828801 Roddick, Simao 0.10 2021
651032145 Liborio, Nailya 3.77 2020
970770889 Ferrari, Alfonzo 2.77 2021
919462827 Morris, Isael 0.49 2020
357313922 Rivers, Isacia 3.83 2022
218912083 Lovett, Jaymie 4.09 2020
844182057 Kania, Josepa 1.62 2022
306249598 Straka, Crispulo 0.90 2018
176807904 Naufzinger, Doinita 4.18 2019
728534664 Hagood, Grant 0.35 2018
159653417 Standeven, Yixin 0.51 2022
777547817 Navy, Ilja 2.94 2018
040219059 Pattison, M'Barka 3.81 2019
530093758 Lanosa, Beula 0.63 2021
179897272 Burgamy, Timofei 4.46 2022
575955171 Tse, Mette 4.71 2019
263250405 Arrizola, Goyo 4.51 2020
983610863 Caparelli, Marinica 2.92 2021
160926353 Ramey, Naveen 1.53 2020
033212489 Paruta, Daljit 0.78 2019
700693951 Roese, Patricio 1.28 2018
923895034 Kliger, Zlatka 4.63 2021
847058735 Carie, Ivete 3.70 2022
234500913 Mcguigan, Honorat 2.10 2022
967509171 Jeremiah, Prados 4.12 2020
315726316 Barthen, Lady 0.35 2019
419426195 Slenker, Abdesslem 0.21 2021
558399760 Stormont, Blessing 3.63 2019
164870255 Paplow, Taanant 2.07 2022
838619004 Lambert, Maudie 3.58 2018
012266719 Graziano, Lakia 2.48 2019
438257776 Grueser, Celedonio 2.79 2022
038426951 Syers, Laurentina 4.84 2019
786801058 Norwell, Kattie 0.70 2022
802607869 Nehlsen, Zeinabou 4.01 2018
948459341 Sandobal, Aritz 0.77 2019
787288391 Maione, Omayma 1.38 2020
295254888 Ellermann, Barae 2.43 2018
227025379 Oyola, Salome 4.26 2022
865373038 Hogenmiller, Placer 0.05 2019
326094673 Rung, Haridian 2.51 2022
400968825 Maynez, Abderrafie 4.99 2021
375056952 Opie, Archil 1.44 2021
630485947 Pherigo, Benancio 0.51 2021
340154781 Treamer, Moctar 1.28 2018
401361007 Blesofsky, Yoselyn 4.99 2018
204784447 Hixson, Delcho 2.24 2020
418301801 Nolasco, Kare 2.34 2022
897776244 Bohn, Bryanna 4.57 2021
231796815 Kantis, Leiza 3.80 2022
148388704 Diop, Adao 4.76 2019
984852576 Hocker, Najlae 2.47 2019
148740857 Fedrick, Salvadora 2.89 2019
684254835 Bohling, Lyazid 3.45 2018
566919539 Bondroff, Pavel 0.88 2018
461045970 Figgs, Aidi 2.22 2020
215816138 Bryan, Narine 2.79 2020
031685996 Melley, Laurynas 2.66 2021
511398068 Tookmanian, Caixia 0.00 2018
201206754 Dobine, Marharyta 1.59 2018
239919795 Barbee, Wasima 1.73 2019
917425299 Zielesch, Suihua 2.64 2021
821446986 Embt, Encarnacion 3.07 2018
566292792 Ackins, Lashon 1.66 2019
879583945 Widner, Mhammad 4.84 2022
412566941 Erlich, Dorut 3.35 2022
209460492 Ulseth, Ivanilda 3.77 2018
846795967 Pizzella, Lekbir 3.74 2018
632935942 Plattsmier, Jovana 0.68 2018
675506575 Plemons, Lonna 1.77 2021
907534807 Jecklin, Darcel 2.87 2022
455734509 Nocera, Mee 4.59 2021
357196760 Wallett, Fanta 0.00 2022
536129642 Spahn, Crucita 4.53 2019
166141021 Gabourel, Yixuan 2.09 2020
300563989 Palacois, Santas 4.31 2022
877991581 Read, Cherie 1.23 2020
214260098 Babecki, Fabricia 2.61 2019
170784043 Mckoon, Andrey 4.71 2019
442213499 Ruebush, Ersilia 3.30 2021
022413976 Carrozza, Lidon 0.35 2018
195553581 Legault, Bintou 1.40 2019
784144193 Fuesting, Nga 3.14 2022
768189206 Marschel, Narjiss 2.06 2019
709231235 Coladonato, Cathaysa 0.23 2019
970842543 Aksoy, Donella 4.56 2020
883597845 Garnham, Almeda 1.54 2021
411513785 Cannaday, Aiyue 1.99 2022
610520203 Mango, Birame 0.02 2019
205900478 Herz, Nefertari 0.25 2022
494338673 Emile, Nixon 1.68 2022
892656815 Vespia, Estephania 2.19 2022
833188341 Mulaney, Nyima 0.19 2021
081643683 Detter, Kathy 3.06 2018
691912536 Goold, Nazmie 0.45 2022
141192216 Schwarzer, Waseem 1.78 2020
032003534 Levers, Mogens 1.44 2020
846986497 Villella, Michelle 0.15 2021
785347928 Folland, Airidas 4.54 2021
182039744 Starkson, Fredy 3.38 2019
729776221 Weakley, Carisa 2.72 2018
107792280 Sylney, Iris 4.11 2021
649086738 Smay, Yusef 0.52 2020
657615545 Dietel, Bentorey 2.70 2019
289741900 Vorholt, Isoken 3.73 2020
800573189 Studnicki, Surinder 0.14 2020
840577485 Nemes, Cruz 2.43 2018
726102152 Dieterle, Zeneida 0.23 2018
853681659 Waldhoff, Mubashir 1.00 2019
246446382 Pichard, Mali 4.01 2019
604005879 Kassouf, Trudy 4.14 2018
688889493 Vigier, Ale 4.62 2019
604643892 Shanna, Jianlin 4.62 2018
722072602 Mcentyre, Remigio 1.58 2020
239134255 Ceppetelli, Sara 4.95 2019
676753239 Eldred, Breno 3.44 2019
280655174 Bombich, Harminder 3.01 2021
795081956 Brudnicki, Joy 4.62 2019
286781687 Nuckles, Gonzala 3.86 2020
215482041 Wyble, Rosalvina 0.13 2022
288279190 Prudente, Polo 3.48 2018
711309697 Argentieri, Solveig 1.60 2018
637035725 Mulkhey, Catherin 1.62 2022
074530088 Oquendo, Carlie 1.56 2021
021498791 Ye, Kalidasa 4.09 2021
565079934 Kendi, Marica 0.54 2022
086056942 Sinyard, Houston 3.68 2019
862145213 Parkers, Ghzala 3.87 2018
702552526 Brackenridge, Therese 4.41 2022
353978261 Jeanclaude, Gianella 4.86 2020
642940572 Flegal, Charla 3.20 2022
837619941 Lamping, Ranses 4.18 2019
116568332 Blanda, Odila 3.13 2019
659268437 Noxon, Manases 1.25 2018
884879922 Waites, Hipolita 4.26 2018
315572587 Melgaard, Jianjun 3.73 2020
314057772 Laterza, Sarahy 4.50 2021
792018981 Accetturo, Piere 1.96 2022
142366813 Kingsolver, Fleur 3.71 2022
524338401 Countis, Eurico 2.91 2020
740904807 Petrey, Alesia 3.23 2018
793778098 Rackers, Crisanto 1.96 2021
012232594 Marruffo, Natali 3.40 2022
351409146 Lansberg, Steffi 0.90 2022
767510025 Menhennett, Shahid 3.65 2021
911149831 Kovalik, Violant 4.16 2022
457466822 Atkisson, Nazrul 4.85 2018
324744060 Rancatti, Jamshaid 2.56 2019
742684436 Carton, Montse 3.82 2020
305313985 Chrosniak, Aminul 3.78 2020
002114235 Tarboro, Medoune 3.97 2018
700258397 Rosello, Anastasio 1.89 2021
120589046 Liljeberg, Migle 3.58 2019
345270683 Kassell, Orlin 0.49 2018
771865994 Stubits, Lenna 0.86 2021
180930021 Brillon, Serkan 1.25 2019
460077209 Nealeigh, Bakr 2.58 2019
555312968 Essen, Iulica 4.42 2019
082990885 Mitsch, Marizabel 2.85 2020
551732894 Eichenauer, Ewald 1.73 2018
212072480 Franck, Isa 4.96 2022
769388427 Ebling, Norddin 4.18 2020
462495789 Mangham, Mahmood 2.83 2021
348617684 Vangorden, Shah 4.48 2022
260817233 Lybert, Erinn 1.49 2020
514266737 Lorette, Marceliana 2.54 2022
995597934 Revira, Joya 0.87 2020
137467605 Gamons, Resurreccion 4.18 2019
882973171 Hunze, Fidencio 2.69 2021
194019039 Siriano, Assad 2.01 2020
869338862 Chene, Nur 3.10 2022
000723392 Everding, Mennana 4.32 2018
475642253 Billips, Chaya 3.00 2018
456844649 Boldin, Rosy 4.51 2018
962628499 Mcmillion, Achille 4.56 2018
438642478 Fabiano, Lizzette 0.57 2022
579117437 Dural, Salamu 0.86 2019
681256793 Deschambault, Tiantian 1.14 2020
465324507 Deojay, Isamar 1.37 2018
757808520 Lermond, Virginijus 1.25 2018
792272004 Brangers, Oma 3.18 2020
687550446 Hasson, Yegor 4.07 2018
593531635 Gronvall, Kenzo 2.28 2020
602091027 Kentner, Yawad 0.54 2019
782501510 Dewer, Maxie 4.92 2019
395094561 Grizzard, Sunamita 4.48 2019
552102038 Hornbrook, Wladimir 0.43 2020
127956549 Shilt, Ganesha 2.37 2019
025185962 Kjetland, Eliecer 0.09 2020
182612153 Pfeister, Navdeep 1.30 2021
114382413 Arisa, Adasat 3.18 2020
009955961 Brightly, Yoselyn 4.01 2022
982075959 Cheslak, Cebria 4.95 2020
425582110 Marvier, Vladas 1.52 2022
820148075 Mathewson, Code 0.79 2021
333620934 Hug, Melvyn 0.96 2020
900867498 Huskins, Nickolas 2.05 2022
391969260 Hanger, Veselina 3.87 2018
019813995 Goggins, Edisa 3.84 2019
317536909 Graban, Haridiam 4.84 2020
001075203 Tinin, Maimuna 0.29 2020
376960185 Kenney, Yogesh 3.32 2018
754166552 Deeks, Mariza 4.59 2019
746423946 Broaden, Artem 3.62 2020
810759008 Westphal, Bineta 1.39 2020
780158454 Zade, Livino 4.32 2022
301839739 Walka, Tajuana 3.62 2021
121936775 Bruckner, Anatolio 3.32 2019
898520863 Natali, Doroteo 1.71 2020
587115227 Mcclurkan, Victorio 1.14 2022
548276051 Braddy, Nuri 0.54 2021
910846783 Kopriva, Yzan 2.47 2020
938335903 Hasenfratz, Katelynn 0.80 2019
507601475 Barman, Sayda 4.01 2022
991600882 Kurz, Kendall 1.16 2021
518339032 Pecot, Ladisla 0.27 2020
570491515 Jonhson, Lourdes 3.96 2022
051333418 Rumpf, Bernarda 4.68 2021
958725566 Pelaez, Crysta 2.80 2021
379946687 Oreily, Chester 1.11 2022
142151523 Lommel, Delicia 0.47 2021
421025639 Scaiano, Hermesindo 0.01 2018
116094512 Hartness, Briseida 0.48 2022
775680823 Sipos, Naual 2.40 2022
391940573 Vertiz, Booker 2.44 2021
612977793 Coaker, Naimi 2.11 2020
023200325 Pistoresi, Brita 3.05 2022
015002824 Mosgrove, Kenay 4.40 2020
396531656 Herera, Jenae 0.63 2021
113355690 Fujiwara, Ye 2.85 2020
228175084 Rebuck, Meiyu 1.60 2019
455303362 Chant, Redwane 4.27 2021
693721769 Cushing, Esohe 4.23 2018
076523742 Lobstein, Kristoffer 0.34 2022
451032202 Brito, Aboubakary 1.11 2018
898988056 Cathie, Iliasse 3.20 2021
471939180 Falbo, Liher 0.11 2022
367135795 Harrer, Particia 4.16 2018
937218734 Penkins, Edelfina 1.60 2022
375161777 Galstad, Theophilus 3.91 2022
155311776 Tycer, Teunis 4.78 2022
005899447 Yutzy, Karma 0.08 2018
202665104 Gamlin, Siqi 0.91 2021
697290250 Prety, Aday 1.62 2019
384685856 Forkin, Sherwin 3.13 2018
624562815 Pestka, Renda 4.46 2019
104655714 Mercuri, Alda 3.74 2021
373063091 Knudsvig, Yaru 0.17 2019
511979082 Becze, Herlinda 2.98 2020
606135688 Hagley, Meryem 1.75 2019
365492242 Kievit, Dieudonne 4.72 2022
843774655 Mezzinni, Rofaida 0.43 2020
960430108 Defrancesco, Noman 2.33 2018
147428126 Gryszowka, Devala 2.73 2021
068597913 Liptrot, Anselmo 2.83 2022
956074473 Rascoe, Carolay 0.99 2021
568767109 Rishor, Giorgica 3.40 2020
757783710 Pistorius, Sarabel 4.32 2020
954355028 Reaney, Zaid 4.80 2018
417425223 Morn, Derly 1.76 2020
895941857 Midgett, Ghazi 2.76 2018
606308792 Badasci, Tamsir 0.34 2021
906827586 Heckaman, Yorel 2.02 2021
478407229 Franzeo, Tynisha 3.43 2021
278967168 Florian, Diosdado 0.94 2021
545887175 Koski, Cathi 0.54 2022
799360313 Ramelize, Rajwant 2.95 2018
498587967 Bellrichard, Marquina 1.08 2019
225411223 Berbig, Endika 2.55 2019
946435543 Gaster, Marilo 3.72 2021
873136347 Gleghorn, Gerasimo 1.86 2018
943545164 Mastrocola, Pool 2.16 2019
364114296 Krenzer, Ulyana 4.20 2019
770637986 Galuski, Iosif 3.16 2019
070681699 Vallandingham, Eurico 4.75 2021
341766132 Hoyles, Katya 4.25 2019
029253258 Androde, Eguzkine 2.16 2018
440527527 Beed, Cristine 0.72 2022
671972737 Granado, Zoheir 4.06 2021
587477026 Sablan, Elly 4.58 2019
125419661 Alvis, Maricuta 0.28 2021
809759796 Zablonski, Raimundo 3.20 2018
664117298 Zervas, Iratxe 1.19 2018
494539918 Leerar, Rached 3.04 2020
860992532 Everitt, Breann 0.62 2022
665989181 Yeiser, Ermanno 2.42 2021
569004096 Eckberg, Deivi 3.47 2020
746938100 Lebitski, Ruta 1.87 2022
257669742 Rinnert, Valdecir 4.76 2022
237624876 Darakjy, Lidija 2.23 2018
852789435 Langager, Elmer 2.22 2022
113429893 Richins, Dawne 4.40 2022
564837112 Knudsuig, Phung 3.12 2020
371318233 Xiang, Estelita 3.16 2022
677193795 Spitler, Yong 3.15 2019
944506083 Sule, Endre 1.67 2018
708219221 Kielman, Karin 2.17 2019
993594008 Shebby, Laaziz 2.30 2021
881614307 Rimando, Sherril 2.40 2021
287536918 Fayard, Iñake 4.45 2019
571233744 Ion, Haron 0.94 2020
482826703 Dlouhy, Crystian 2.67 2021
371116489 Picariello, Celsina 3.61 2020
397451346 Kangleon, Boufelja 4.16 2020
766921354 Seckinger, Abdenasser 3.25 2018
192968041 Peetoom, Kia 3.04 2021
371846069 Wun, Luciliano 0.45 2022
629319294 Guitreau, Yohana 4.94 2020
537799483 Tarman, Yufei 0.42 2018
057035148 Todd, Eihar 0.85 2020
325765632 Steinborn, Georgiy 3.42 2018
913561918 Beckenbach, Jetzabel 4.62 2021
176843539 Brechner, Stefany 1.59 2022
134583463 Hooghkirk, Katharine 1.84 2020
877093623 Frauenfelder, Ravana 0.73 2020
545215033 Krane, Gigel 0.59 2018
563249528 Yaple, Pradeep 4.48 2018
691950042 Batrich, Lavon 1.52 2021
201092292 Tone, Pekka 0.01 2019
416100835 Reinholdt, Saidia 2.00 2018
627058621 Betesh, Ersilia 3.62 2021
792274179 Naples, Ghailan 4.43 2020
986545657 Mcgaw, Hunter 0.63 2018
721127529 Howenstine, Yeimi 2.64 2020
506593878 Meabon, Raya 1.18 2020
009398675 Vollmering, Vernon 3.06 2018
268054417 Kalbach, Seco 0.19 2021
909177493 Dunseith, Denitsa 3.87 2019
208061129 Swetnam, Chaudhry 2.06 2019
856006410 Germundson, Emilene 4.09 2020
813708561 Drumgole, Carminia 4.61 2018
109189433 Vanterpool, Climaco 4.54 2018
402133501 Deasis, Teodosia 4.87 2021
549166663 Cocran, Emeka 4.92 2022
955632774 Cipolone, Mirsad 1.70 2022
631545800 Luangsingotha, Rodrigo 4.77 2020
229557553 Battiste, Rumilda 4.23 2022
228959027 Vogl, Bobby 4.28 2021
128309089 Chaffin, Birame 1.32 2020
950751231 Mahler, Sainza 2.44 2019
029601686 Lalli, Erlantz 2.26 2020
818290529 Leonhard, Rayyan 0.35 2018
673818137 Laschinger, Cristobalina 2.99 2021
622182618 Tipping, Frauke 1.03 2022
280656115 Froese, Alfia 2.77 2021
830191018 Castellonese, Didac 0.60 2021
145540256 Guidera, Lala 1.93 2022
541038847 Gillies, Manu 4.14 2018
618743451 Hemley, Leif 1.37 2019
246665362 Biglow, Gilda 1.82 2020
126693211 Homrich, Vasco 4.86 2018
585807684 Simpkin, Rayhan 1.35 2021
041740587 Kosmatka, Brianda 2.77 2018
834507191 Dorr, Semida 4.13 2021
458961092 Calnan, Solange 3.77 2019
870555996 Barben, Shaimaa 1.54 2019
344243261 Buczek, Adeluta 3.09 2021
365598427 Zablocki, Jaber 1.97 2022
415458915 Blisset, Kasper 3.75 2021
858520088 Stadt, Slavko 3.87 2022
026350116 Capuzzi, Jeneva 0.45 2020
389839829 Keilen, Portia 4.77 2022
942083256 Couret, Yanetsy 4.78 2020
431264351 Malsom, Azmat 2.69 2018
727557926 Lea, Veska 0.98 2018
610123888 Stammel, Sahli 4.20 2019
650860813 Frezza, Brittany 2.73 2021
784729191 Butman, Francesca 1.41 2020
178498592 Schwieger, Edward 4.62 2018
726798843 Matanane, Ceferina 4.06 2020
879058598 Bicknase, Ahlalia 0.45 2019
917612791 Corrga, Dobrin 1.11 2019
639092964 Lidge, Meiyan 1.45 2018
300316925 Sieck, Krisztian 2.96 2019
282552728 Matuck, Jonay 2.67 2020
693500035 Dru, Atreyu 3.20 2021
559196685 Paup, Mariola 3.76 2018
986231188 Vane, Izolda 3.49 2020
095959367 Mandato, Biagio 1.21 2020
612343130 Kotzen, Amarildo 0.91 2018
521921025 Selim, Wenting 2.37 2022
857596180 Babbitt, Arafat 0.64 2018
866716719 Samms, Itxaso 1.86 2020
259550146 Quella, Señor 2.27 2022
592615288 Goy, Nazariy 2.46 2018
652868476 Roberie, Akila 0.47 2019
183771951 Theinert, Sterica 4.42 2019
934045372 Kevelin, Nedka 2.90 2021
404509244 Stout, Maribeth 4.87 2018
780124534 Baier, Piroska 3.47 2020
541119765 Krehel, Smaranda 4.29 2018
847995306 Grad, Huili 4.19 2018
859927813 Galle, Margherita 2.43 2022
760971963 Hila, Denisha 0.34 2022
351210989 Inghram, Rebbecca 1.55 2022
182985555 Eddings, Espartaco 2.70 2020
207756471 Stanger, Evelyne 3.95 2018
542377007 Hooper, Dedicacion 0.79 2021
955766495 Ringwald, Suzy 2.30 2022
186834339 Letman, M'Hand 4.00 2020
487456030 Olien, Yaniris 4.43 2020
856538773 Ostwald, Rose 4.12 2021
969481632 Belson, Nidae 1.99 2022
429586569 Barshaw, Paolo 3.51 2018
449030659 Soldavini, Elea 4.88 2022
422685348 Miyamoto, Mushegh 2.77 2022
017426841 Dragotta, Federico 1.20 2020
131979712 Fryer, Rumyanka 4.50 2022
140151716 Rodriuez, Kemal 3.79 2021
777455081 Gillogly, Caprice 2.91 2020
289497629 Bubak, Yingjie 1.80 2020
695056481 Norton, Odei 2.18 2018
226490705 Ketter, Emeka 3.80 2022
152674964 Pasquarello, Suhua 3.28 2019
597930947 Basher, Gay 4.25 2020
889855836 Jaffee, Madiop 0.08 2020
791793436 Lanosa, Diego 3.38 2021
314381500 Mcconn, Benachir 1.08 2021
634937279 Phy, Yuqin 1.20 2019
799942421 Walrond, Yanet 3.55 2018
153106058 Minicozzi, Macedon 1.83 2020
816616799 Kahler, Laban 0.51 2020
961949250 Manolakis, Jamar 2.94 2022
038572130 Blakeley, Jonhatan 1.92 2021
014197623 Dufort, Rajeev 4.18 2022
613710892 Pirkey, Nefertari 1.71 2019
145408618 Lyda, Fidanka 1.58 2019
354609147 Gehrig, Sheima 4.42 2020
756792160 Pinkham, Qaiser 3.71 2019
594597389 Bottini, Rhona 4.63 2022
729112677 Sisomphou, Alae 3.57 2018
317964139 Tekautz, Guiying 1.24 2018
964762969 Seltz, Florine 4.82 2020
756155131 Bennink, Trini 3.94 2020
877496666 Apalategui, Tenesor 3.56 2018
342843340 Yeadon, Alfonsina 4.39 2019
586977264 Nell, Yanett 2.66 2018
659091106 Hornbeck, Judiht 2.59 2021
402737362 Jaeschke, Fares 2.55 2019
142183097 Lukander, Suzette 3.81 2018
571376755 Wormwood, Surinder 2.75 2021
159196418 Sanborn, Sher 3.11 2020
234405953 Mcgrory, Kirby 4.06 2019
025821219 Scherb, Olallo 2.55 2022
530404998 Nilsby, Ladawn 0.06 2018
414599607 Hartranft, Nandor 1.63 2020
336283522 Spice, Ayatima 3.82 2019
454569462 Hessey, Yeison 4.97 2018
796895053 Oesterreich, Arkia 0.90 2018
323010798 Kachmar, Mabrouk 0.91 2019
367853250 Barrs, Lotte 1.65 2018
038245383 Salvatore, Younis 4.89 2022
696348385 Nasson, Cocepcion 4.18 2018
702484710 Zancanella, Hoummada 4.39 2020
335270686 Mcevers, Miyoko 3.39 2020
841991225 Wyble, Phung 0.95 2020
357500964 Simers, Yosef 0.03 2019
733081614 Sayavong, Friedrich 3.92 2018
713361876 Thomure, Yeray 0.54 2020
162861624 Mclamb, Ouiame 3.57 2020
855547490 Poe, Maicol 3.90 2022
637570671 Randel, Rubin 4.58 2018
929504778 Claussen, Elizete 2.07 2018
302741926 Benya, Nansi 3.10 2018
615860254 Gionet, Dimitrie 3.03 2022
710176566 Chhom, Jennifer 0.21 2021
028860307 Bolfa, Lulu 4.97 2018
682380890 Bigham, Juliane 0.73 2018
257485372 Ngvyen, Quique 4.35 2021
637853559 Cuccinello, Yulisa 3.54 2022
065787341 Kirkey, Maverick 3.50 2020
843950239 Delmoro, Blaise 3.34 2021
098051833 Conception, Marcelin 3.97 2018
737766078 Lautner, Kaitlyn 4.99 2018
185177312 Mallett, Panagiotis 1.98 2021
686189862 Messerly, Daryna 0.41 2018
847537254 Iyer, Weidong 2.75 2019
090266698 Szwarc, Juozas 4.14 2018
443636255 Kuss, Thor 1.34 2022
717095161 Whisenand, Guofeng 0.11 2022
833037402 Osborn, Turruchel 0.63 2019
341330692 Molesworth, Famara 2.32 2020
777102633 Gogocha, Idara 1.60 2020
122172711 Pacholec, Quinidio 3.64 2020
343527018 Yeary, Safaa 3.99 2022
611593664 Massanet, Solomiya 0.02 2021
658701029 Neuzil, Jennell 0.23 2020
932909569 Ossowski, Malake 0.35 2018
447561107 Wendorf, Haydee 0.76 2019
189836975 Bouyea, Argimiro 1.48 2019
987096498 Drossos, Micah 0.17 2019
909053878 Moitoso, Hermesinda 2.85 2019
