000027379 Trachtenberg, Illia 2.18 2021
554280551 Mcnuh, Amr 0.69 2020
554285502 Drews, Maryln 4.21 2019
554288149 Houck, Hye 3.16 2022
554295027 Ewan, Joice 4.40 2020
554297992 Spangler, Assya 2.29 2018
554316482 Tauarez, Sahar 2.02 2022
554316723 Kittleson, Ibai 3.75 2020
554319308 Lacerenza, Jerico 4.64 2022
554323869 Ponciano, Jin 3.65 2022
554331028 Jaquez, Flemming 4.58 2020
554345162 Harger, Nada 2.75 2020
554357344 Withiam, Sabria 0.70 2022
554360323 Olesnevich, Dany 1.71 2021
554362453 Lauenroth, Tiscar 2.14 2018
554388051 Benninger, Rudesinda 4.31 2022
554398742 Graeser, Fidelio 0.49 2018
554410604 Wyllie, Nutu 1.11 2019
554425699 Fialho, Tuastri 2.58 2022
554437766 Crumwell, Huifang 1.85 2020
554459185 Yballe, Sharie 2.07 2018
554469260 Csensich, Merien 1.22 2019
554471342 Brines, Penka 0.96 2022
554474362 Morrall, Aynara 1.72 2020
554475984 Ketter, Floretta 4.45 2018
554486597 Acencio, Zara 3.05 2019
554496227 Depp, Ainet 1.96 2020
554505665 Wingeier, Kauzar 4.34 2019
554520733 Lagrange, Masud 4.37 2019
554525478 Schwald, Romaisaa 0.92 2020
554525438 Frescas, Francho 2.99 2019
554539448 Finnley, Danya 1.04 2022
554566722 Shoats, Naomy 2.25 2021
554578957 Durdy, Subhan 0.50 2022
554598424 Baney, Muzaffar 3.30 2018
554601602 Keebler, Remedios 1.29 2019
554633586 Bartel, Riffat 2.71 2020
554634335 Clare, Iasmina 4.78 2019
554642881 Hilliard, Ouidad 2.84 2018
554657667 Kernes, Yuliet 2.69 2019
554672836 Kriener, Zuzana 3.99 2022
554687264 Uhrin, Alaide 3.28 2021
554690975 Bressette, Rickie 2.77 2022
554711537 Vanvoorhis, Justas 0.83 2022
554733896 Stoltenburg, Kathlene 0.78 2020
554748206 Hongeva, Yocelin 3.44 2021
554755046 Dahms, Sujing 0.11 2018
554765047 Weinbauer, Singh 1.66 2022
554768707 Bhairo, Lacrimioara 0.37 2018
554791637 Homer, Cornelio 3.45 2018
554802759 Middendorf, Yarely 0.93 2019
554846309 Katzberg, Xiaoshuang 3.24 2022
554847779 Spotwood, Aslan 0.70 2019
554860267 Chavies, Ludivia 0.95 2020
554861190 Laurita, Carrie 1.54 2022
554896778 Clunie, Isabel 2.12 2022
554907944 Gurnett, Rosenilda 1.39 2022
554926721 Shook, Ouarda 1.14 2021
554926748 Deguise, Keoma 4.85 2020
554927499 Jauss, Shasha 2.16 2022
554933326 Tatham, Thresa 2.49 2019
554942163 Vanmaanen, Wassima 1.04 2018
554954137 Mall, Galo 3.37 2019
555000629 Lopus, Doloris 3.77 2019
555003131 Klappholz, Estivaliz 2.96 2018
555011942 Tocci, Stacee 2.80 2020
555012186 Mignot, Ishak 0.40 2021
555014701 Frame, Adelfina 3.58 2019
555017073 Gallogly, Shuqin 3.00 2021
555017622 Gravis, Coman 3.30 2020
555042722 Dantonio, Craciun 0.73 2019
555060598 Ballerini, Azibar 4.89 2018
555078865 Luedke, Adell 0.21 2022
555081505 Demarinis, Pradeep 2.05 2018
555096924 Gregoria, Vi 4.36 2019
555102805 Presho, Jerson 4.96 2018
555139260 Lanagan, Boguslaw 1.22 2020
555151083 Petchulis, Soterraña 0.27 2021
555167416 Peake, Uxio 0.34 2018
555167570 Sells, Jhonathan 1.53 2020
555169243 Westcote, Resham 4.84 2018
555172538 Lendor, Garoa 0.38 2020
555179215 Mcgillivray, Josebe 0.08 2021
555183192 Dadlani, Marlana 4.39 2020
555183203 Orzech, Milva 0.56 2018
555192583 Grunewald, Eduvijis 1.50 2020
555195185 Range, Meie 4.22 2022
555196427 Benchoff, Naveen 2.83 2019
555208104 Finzel, Matha 2.31 2018
555210356 Robateau, Noel 4.17 2021
555230227 Lafemina, Bintou 3.47 2022
555256549 Rowbotham, Wan 0.02 2019
555258605 Lenherr, Salustiana 1.59 2022
555265870 Aiporlani, Nydia 2.75 2022
555265462 Brubaker, Katiana 1.98 2020
555271272 Laidler, Leizuri 2.43 2022
555276109 Winegar, Botaina 1.84 2021
555278301 Sowada, Marcelli 0.29 2020
555297503 Hamnon, Pierangelo 3.60 2021
555310054 Wice, Faina 2.45 2019
555329350 Debbins, Valerian 2.69 2019
555335449 Slunaker, Cheryle 0.52 2019
555339708 Annichiarico, Luca 0.11 2022
555352883 Rattliff, Abdelouahid 1.95 2018
555355932 Saintfleur, Vianney 3.95 2018
555387823 Jekel, Siny 4.88 2021
555395933 Mcquitty, Lina 1.72 2022
555396049 Boykins, Almira 3.27 2020
555399868 Rudasill, Manju 2.60 2022
555402503 Spannaus, Issouf 4.26 2021
555404127 Markee, Chunxiang 1.70 2022
555419898 Belay, Demetrio 2.15 2019
555456436 Keener, Keith 1.92 2019
555471359 Lowthorp, Mayerli 1.16 2020
555480500 Melino, Juno 1.84 2021
555480917 Roacho, Victar 4.22 2019
555486872 Kullmann, Zaman 2.37 2021
555494799 Grisanti, Chrif 0.02 2019
555521627 Rudin, Aristides 0.48 2022
555542607 Schaffert, Abrar 0.74 2019
555546259 Paden, Sergejus 0.21 2022
555566843 Zurita, Abby 2.69 2022
555567553 Whetham, Chunlian 1.17 2021
555571568 Vanzante, Latesha 3.18 2019
555577634 Bagdonas, Griselda 4.83 2018
555589351 Athas, Jano 4.84 2019
555595930 Henneberger, Lizbet 2.59 2021
555612099 Byczek, Philipp 0.29 2019
555614191 Filoteo, Iana 1.96 2020
555684757 Buckwald, Magno 1.22 2020
555693638 Aduddell, Zhongwei 2.54 2020
555696276 Rampey, Dailos 1.70 2022
555703969 Amaker, Pandora 1.17 2018
555707993 Wasmund, Viacheslav 3.20 2019
555738589 Mclernon, Jiacheng 0.90 2022
555769000 Czekanski, Janaina 3.41 2021
555775094 Walken, Mata 2.78 2019
555775135 Miralles, Krzysztof 4.76 2019
555776229 Baffuto, Corliss 2.98 2022
555786225 Alcoser, Valvanera 1.31 2022
555799294 Sodergren, Hannan 3.05 2018
555814489 Moncus, Grisha 2.78 2022
555825047 Naz, Phillis 4.07 2020
555833706 Dross, Monnie 0.99 2019
555839565 Dlobik, Miss 0.53 2021
555847791 Lack, Gertude 0.39 2022
555863131 Kiser, Yeudiel 3.60 2018
555865123 Bisges, Bayan 4.37 2021
555866348 Escoe, Mikayel 1.47 2019
555870494 Lykes, Aurita 2.96 2020
555896305 Nabhan, Doug 3.33 2022
555905214 Nitzschke, Mujer 3.03 2018
555924100 Offermann, Carolee 1.66 2018
555928467 Safran, Lucius 3.80 2019
555929292 Naveed, Yung 2.99 2019
555929970 Mcclimens, Montañas 0.70 2019
555930276 Kickel, Aithana 2.92 2022
555941396 Viessman, Hakob 0.80 2019
555950176 Jacques, Nouman 4.81 2022
555951955 Schildgen, Agapito 0.81 2021
555982688 Colsch, Milka 0.73 2019
555983935 Outen, Fatoma 4.27 2022
555984795 Cos, Alzbeta 4.11 2022
555987869 Fortun, Marybeth 1.05 2022
556015282 Rola, Abdelhadi 2.16 2018
556025643 Tissot, Kacper 4.00 2019
556030538 Mcsherry, Elham 1.76 2022
556046242 Tresvant, Lucitania 1.05 2022
556051202 Summey, Ioritz 4.99 2018
556059328 Schlossman, Emilo 0.20 2018
556081619 Sensmeier, Arely 2.93 2020
556093910 Dewyer, Urias 0.14 2021
556103356 Bracamontes, Gyorgy 1.67 2019
556108645 Werkheiser, Abundia 1.67 2018
556128299 Hochstedler, Bochra 3.90 2019
556139401 Mitchelle, Yuleisy 0.38 2018
556154047 Sedler, Aisling 4.70 2019
556183007 Martinel, Anselm 2.67 2020
556184535 Lueking, Yanine 0.55 2019
556188629 Calahan, Warren 4.10 2018
556212353 Moscone, Falak 3.53 2019
556230536 Redgate, Gizane 0.08 2021
556234730 Devault, Ksenija 3.07 2019
556239127 Woon, Leopoldo 0.82 2021
556242971 Schoenstein, Rosel 0.92 2020
556257377 Varcoe, Natasa 2.79 2022
556259005 Sanantonio, Nerys 4.36 2021
556263359 Jin, Hue 4.81 2019
556266519 Windover, Nezha 0.19 2018
556285272 Cabler, Marharyta 0.06 2018
556298668 Belleau, Annemieke 1.38 2021
556303192 Herriot, Balraj 4.58 2020
556311062 Sauceman, Essaadia 1.03 2021
556312536 Abedi, Salvador 2.71 2018
556317191 Sharples, Lida 2.55 2018
556320989 Rotert, Hernani 0.80 2022
556329795 Blankenberg, Valter 4.45 2020
556339379 Giorno, Aiub 1.44 2018
556390242 Seace, Kimberlie 0.49 2020
556391619 Pecinousky, Mian 4.51 2019
556395857 Loredo, Dienaba 0.52 2020
556398506 Daricek, Laurentiu 1.33 2022
556406962 Vedder, Saverio 3.90 2018
556408511 Hoyer, Shelby 1.17 2021
556441736 Kala, Honorina 0.80 2019
556467442 Mcquitty, Zachery 4.58 2018
556467558 Leza, Thais 2.71 2021
556470080 Metenosky, Khadidiatou 1.65 2022
556515885 Mongiovi, Afzaal 0.51 2019
556543140 Cannada, Simo 4.05 2018
556555862 Clines, Astghik 1.97 2020
556557922 Gettys, Taimoor 3.73 2020
556568053 Toscani, Anunciada 4.21 2020
556573773 Jumper, Lusine 2.30 2018
556587152 Obie, Jiani 0.02 2019
556602961 Gudmundsson, Iraima 3.57 2018
556602428 Krise, Abderrahmen 1.85 2021
556603079 Heilmann, Estelia 4.95 2021
556607607 Zeiger, Heiko 4.07 2022
556607695 Medill, Creuza 0.27 2022
556613004 Kingrey, Ivete 2.96 2020
556639336 Fairburn, Hacomar 2.33 2021
556639310 Falling, Rqia 1.43 2018
556641381 Rideau, Crystle 1.77 2022
556649665 Schmeisser, Murtaza 1.57 2018
556652119 Uzzle, Hiroshi 3.77 2021
556654479 Lanners, Avery 3.56 2019
556655021 Taplin, Markel 2.08 2019
556675866 Salas, Kimberlee 1.12 2020
556689476 Wildeman, Jacquline 0.52 2020
556719890 Krenke, Deseado 3.81 2018
556734238 Moustafa, Athanasios 3.21 2022
556739786 Jerauld, Louetta 0.26 2019
556739514 Taddonio, Liher 0.40 2022
556771791 Guinnip, Beralides 2.50 2018
556779310 Chestand, Flaminio 0.07 2018
556781907 Weigle, Xiaobin 2.43 2019
556783891 Roedel, Xiong 0.65 2020
556795120 Liu, Mhamed 1.22 2020
556800553 Rockstad, Teudiselo 1.00 2021
556801252 Abila, Peligros 4.34 2019
556807698 Strobeck, Giancarlo 0.29 2022
556817198 Baez, Djime 1.10 2021
556832566 Aki, Fadela 4.37 2021
556846226 Tayse, Milene 4.73 2021
556849118 Mangino, Paun 3.51 2021
556852261 Brunelli, Shelba 2.77 2018
556859543 Marrujo, Ajaz 1.35 2019
556863692 Batrich, Fiodor 1.60 2020
556871075 Shreckengost, Mirko 2.88 2022
556871552 Riveros, Nissrine 4.44 2018
556883897 Vittek, Petrache 3.42 2021
556897063 Wubbena, Yoshie 2.86 2020
556921625 Monagas, Sadye 1.17 2020
556931167 Prosonic, Rosica 3.17 2020
556938453 Lykam, Delfi 2.51 2019
556942460 Millner, Dositeo 0.64 2018
556959311 Teal, Chere 3.53 2021
556981485 Abatti, Susanne 1.77 2021
556986574 Lagasse, Aizhen 1.84 2022
556995211 Finney, Djenabou 2.86 2019
556995818 Stas, Jacomar 2.94 2018
556996686 Mangieri, Fredy 4.12 2020
556996373 Aoay, Adonis 2.44 2019
557019341 Hulm, Wenbin 0.57 2022
557022773 Spingola, Eloy 2.00 2022
557044049 Zumstein, Nuala 0.60 2021
557054043 Calleo, Georgene 4.86 2021
557055270 Gritton, Abir 3.42 2018
557060082 Chanin, Neculai 3.14 2018
557070243 Wulkan, Audra 3.16 2019
557082350 Banther, Evalyn 4.59 2020
557084010 Markakis, Catrice 3.52 2022
557100087 Nottage, Tinca 0.25 2019
557128100 Vinsant, Ayah 1.89 2018
557128345 Marinos, Jim 2.70 2019
557142316 Koeck, Aiub 4.81 2022
557192293 Mullee, Adell 0.65 2018
557195453 Fry, Raphael 0.81 2020
557201943 Zitzelberger, Adorinda 3.86 2022
557213664 Benear, Yered 4.80 2020
557225746 Cruzen, Jussara 3.84 2021
557228035 Zeleny, Sarbjit 2.48 2018
557230904 Esper, Nini 0.51 2021
557237042 Reichenberg, Rokaya 3.82 2020
557242095 Klavon, Neysa 3.68 2018
557242592 Sandberg, Lenia 3.15 2019
557303502 Anon, Philip 2.46 2019
557308400 Zuercher, Anahy 3.56 2020
557314204 Kilgor, Osiris 0.60 2018
557319158 Lindamood, Mei 1.08 2020
557328733 Kapral, Georgie 1.27 2019
557343540 Saenger, Iraya 1.87 2022
557367842 Manbeck, Baldiri 0.43 2021
557368250 Areas, Lhoucine 4.79 2020
557373193 Ruyle, Alonzo 2.78 2021
557388480 Weidig, Liberty 1.31 2019
557408357 Redondo, Patryk 3.41 2019
557449959 Verbeck, Rumyana 4.38 2019
557453634 Storozuk, Rufino 3.30 2020
557467390 Gallina, Alexsandro 4.91 2021
557473935 Daryanl, Edy 3.34 2018
557481865 Rauch, Leeanne 3.48 2019
557483404 Gretzner, Tiburcia 1.63 2018
557493824 Bartel, Ayleen 1.38 2022
557498289 Neidig, Eliza 0.06 2021
557534111 Copps, Nabiha 0.11 2021
557555535 Shird, Adhara 4.06 2018
557564638 Pieffer, Anneke 1.42 2021
557589049 Connet, Marilda 3.22 2020
557603270 Roedl, Anders 1.95 2019
557615047 Wallwork, Feliza 3.09 2022
557623864 Hoyle, Hala 3.31 2019
557628586 Nitzsche, Hettie 4.78 2020
557649800 Haskamp, Llanos 2.15 2020
557650474 Saens, Xia 4.85 2018
557662968 Varner, Oleksandr 4.69 2018
557667952 Wendeln, Khader 1.46 2019
557682036 Fauset, Sabiha 0.73 2020
557687775 Zerba, Melania 4.72 2022
557710637 Redfield, Vanderlei 2.80 2021
557716979 Clemmens, Patria 2.71 2019
557717410 Alves, Luise 3.12 2022
557717766 Porteous, Tomasz 0.82 2020
557736137 Opray, Neria 4.32 2021
557741487 Pantone, Giraldo 1.86 2018
557745824 Staats, Yonathan 0.63 2019
557770796 Carotenuto, Lacramioara 3.23 2022
557791675 Stamant, Sadye 4.17 2019
557816357 Castel, Stefanie 3.40 2019
557829145 Barlip, Kalilou 4.14 2018
557859426 Honnette, Aliaksandra 2.65 2018
557887750 Vangoff, Krasen 0.27 2021
557888583 Spoth, Johnette 0.91 2019
557889516 Elbert, Fanuta 0.33 2018
557939200 Vanruler, Nayla 0.36 2018
557967781 Spinas, Majid 3.02 2019
557976891 Bonnes, Weiyi 0.19 2018
557979968 Delena, Elva 1.85 2020
557981963 Brightwell, Zada 2.89 2021
557983021 Bichoupan, Etna 4.88 2019
558003933 Milosch, Lanxiang 4.83 2021
558021063 Carreker, Dilyan 1.50 2022
558024959 Degre, Gert 3.20 2018
558056675 Beddows, Valrie 2.53 2021
558071013 Barbosa, Oprea 2.46 2022
558102454 Motten, Leigha 1.82 2022
558123355 Greviston, Lupercio 1.82 2021
558147225 Segawa, Sants 1.25 2021
558150638 Classon, Jeroni 3.57 2018
558161592 Apel, Badiaa 1.42 2019
558171402 Verano, Klara 1.75 2022
558180489 Burdon, Sheba 3.26 2018
558182762 Bookout, Ginesta 3.93 2021
558190865 Virgin, Tariq 1.96 2020
558192429 Herskovits, Lawanda 2.37 2021
558211483 Rotstein, Guoying 3.13 2021
558213223 Kain, Lilian 1.92 2018
558220720 Stoeffler, Yanling 4.61 2022
558220594 Vanscooter, Pancracio 4.30 2022
558222016 Rick, Liv 0.44 2019
558236154 Bessard, Phyliss 4.33 2018
558261387 Devost, Davina 4.42 2019
558262617 Andis, Piroska 4.10 2022
558266433 Hindley, Clarice 4.86 2019
558281579 Hagenbuch, Yongkang 3.85 2022
558305109 Skorupski, Yaiza 1.39 2020
558318583 Vaidya, Mindy 1.78 2022
558324536 Smykowski, Matteo 3.86 2018
558333694 Kohs, Ermesinda 2.35 2021
558339607 Stong, Conceso 2.78 2020
558345554 Slentz, Effie 4.76 2022
558357479 Laurimore, Artai 0.82 2019
558374333 Meskill, M 0.95 2022
558374425 Beseke, Samuel 0.60 2018
558384646 Daylong, Isla 3.17 2022
558386367 Garoner, Panayot 4.36 2019
558420847 Harbus, Haizea 3.84 2022
558439299 Bonnifield, Abdelatif 4.99 2020
558445230 Tutoky, Stefka 4.24 2022
558452868 Victorero, Suanne 2.97 2019
558463786 Wesby, Aqeel 2.48 2019
558475720 Capestro, Earl 0.24 2019
558481069 Haigwood, Otmar 2.81 2022
558494835 Sabha, Abdelouahhab 4.49 2022
558496674 Canevari, Keeley 3.80 2020
558498172 Kocieda, Haie 2.46 2022
558498710 Arra, Lenna 4.62 2022
558537169 Kochel, Andros 0.19 2018
558555154 Ishikawa, Idolina 0.40 2018
558560937 Eafford, Mesias 1.62 2020
558560385 Swearingen, Aranda 3.00 2018
558562490 Norman, Kasem 4.17 2022
558574983 Roh, Habibur 4.96 2018
558580052 Shabazz, Enache 1.65 2019
558600473 Dishner, Georgette 1.07 2018
558605635 Amderson, Yanmei 1.99 2018
558629621 Bour, Nancy 3.11 2018
558634930 Apaez, Basharat 1.88 2020
558661035 Udo, Jamaica 2.21 2019
558674239 Merkt, Svetoslava 4.38 2020
558681616 Porco, Cornelia 3.12 2021
558732538 Fannon, Teodora 1.72 2019
558752097 Gumaer, Chasidy 1.58 2018
558780713 Discala, Zahid 2.61 2022
558789167 Splitt, Selim 2.05 2019
558798575 Winslette, Helmer 4.79 2020
558811359 Verd, Amal 3.73 2021
558818607 Palomar, Naiara 3.11 2021
558819571 Kady, Bernarda 2.18 2022
558829527 Coins, Inko 3.55 2022
558835939 Pettey, Mballo 0.77 2021
558872834 Rosane, Nivia 3.56 2021
558875901 Salus, Sanne 4.61 2022
558879281 Hatcher, Glennie 0.24 2021
558881818 Chaloux, Bertha 3.84 2018
558898039 Reinwald, Ibrar 2.13 2020
558899084 Kip, Rena 1.13 2021
558913923 Glathar, Nugzar 3.89 2018
558926077 Valderrama, Saliou 3.62 2019
558945908 Tyma, Yonay 1.80 2020
558957865 Mitch, Nils 4.26 2019
558967852 Whitehurst, Alona 4.04 2018
558976652 Botting, Kaoussou 1.66 2021
558977318 Hempstead, Lesa 3.93 2022
558981509 Pottorf, Jaafar 1.08 2022
558993923 Fragman, Palmiro 2.87 2022
559003790 Sier, Nassir 2.16 2020
559006848 Boklund, Baltazar 1.65 2020
559008535 Negreta, Aleksandras 2.91 2021
559012212 Lalumiere, Nathali 0.89 2022
559017197 Dubson, Sica 3.42 2021
559021295 Dottle, Irune 3.59 2022
559033929 Boutchyard, Harpal 3.15 2018
559034043 Matkin, Asya 1.34 2022
559035268 Lebleu, Pandora 4.78 2018
559036622 Kevin, Mogens 1.74 2021
559037321 Madonna, Klavdiya 2.82 2019
559047488 Handren, Jianxiao 4.12 2020
559055595 Bussen, Segunda 2.95 2020
559059732 Hofmeister, Asela 2.07 2021
559068818 Woodford, Elisei 1.00 2019
559073315 Tabian, Carolin 2.98 2020
559083081 Peiffer, Clyde 3.46 2021
559098200 Minot, Ellsworth 1.81 2018
559102182 Hammell, Norayr 1.65 2021
559107451 Tegenkamp, Khamis 3.48 2018
559145235 Marero, Puerto 4.67 2018
559148189 Moyers, Diomedes 3.63 2021
559150314 Bascomb, Phebe 4.62 2021
559176088 Barberr, Sammy 1.29 2018
559177470 Katayama, Marceliano 3.32 2018
559186827 Consalvo, Kristofer 0.61 2019
559186877 Niemants, Pascuala 1.70 2021
559187908 Erich, Dilia 3.94 2021
559211998 Hauxwell, Yalila 2.72 2019
559233867 Enomoto, Azucena 2.82 2018
559253162 Debrock, Ursina 3.34 2021
559260863 Gerla, Jinbo 4.93 2022
559274067 Todt, Recesvinto 3.21 2020
559283443 Blaese, Aguasantas 1.06 2020
559299017 Mehelich, Joice 2.11 2020
559304894 Steakley, Manju 4.19 2020
559305210 Kulas, Yasar 0.87 2020
559307934 Mackey, Bertilda 0.07 2021
559333605 Max, Jerlene 3.11 2020
559336247 Vandesteeg, Nouhoum 2.84 2021
559342096 Cubero, Marilia 0.60 2022
559345970 Haston, Houssien 2.66 2019
559354695 Sandell, Jose 0.35 2019
559368547 Moose, Cornelius 1.46 2021
559369693 Barlock, Asen 0.21 2021
559372695 Aspen, Severino 1.41 2019
559375489 Serdula, Sevda 0.80 2021
559409946 Rhynard, Yunyun 4.87 2022
559410733 Campean, Harjit 3.75 2020
559420174 Caillier, Katherine 1.56 2020
559421607 Vientos, Tincuta 1.33 2020
559425053 View, Dafina 0.36 2021
559435138 Susman, Edilio 1.18 2019
559440360 Simmes, Laetitia 4.42 2022
559449048 Burdier, Kirby 0.61 2019
559451692 Spangler, Abdelrhani 4.94 2019
559451905 Rubi, Adrian 1.18 2020
559460525 Famulare, Shuangjun 1.24 2019
559460525 Epson, Charalampos 0.10 2019
559463475 Cessor, Virtudes 4.42 2019
559465114 Goettig, July 4.63 2022
559487647 Swearngin, Rustam 1.43 2021
559492658 Alphonso, Virtud 3.53 2020
559509755 Matus, Chere 2.51 2020
559539094 Lemarie, Salvina 4.63 2018
559555751 Truka, Inga 0.06 2018
559593935 Snowberger, Yoseba 3.83 2019
559603632 Armato, Francis 0.10 2019
559619134 Tamas, Onel 0.52 2019
559627377 Yanchik, Sierra 0.92 2022
559629866 Seagrave, Elixane 4.61 2022
559632712 Berendt, Edin 0.40 2021
559635630 Cocopoti, Mailyn 2.32 2021
559643080 Wesloh, Germina 4.97 2019
559669537 Oganyan, Bahia 0.03 2021
559676678 Rashada, Artak 3.49 2018
559697363 Gepner, Haitao 0.84 2019
559708874 Bonsu, Dimitrinka 3.24 2018
559717004 Snoderly, Gunnar 3.09 2022
559728758 Jarquin, Gintautas 0.72 2022
559740769 Allyne, Umaima 2.66 2021
559748990 Debrecht, Govinda 1.70 2021
559749385 Spanier, Yenifer 4.89 2018
559753026 Ghil, Deloise 3.84 2018
559778850 Willmon, Ninbe 1.83 2020
559825093 Doubleday, Jacint 2.27 2019
559831292 Komada, Yuniel 4.32 2018
559831295 Giottonini, Bhupinder 0.80 2019
559840641 Caccamise, Nouriddin 3.66 2022
559842353 Obeirne, Eneko 2.98 2022
559846825 Forde, Leonilda 3.84 2018
559881518 Roofe, Lingzhi 2.87 2020
559913536 Fallaw, Basilio 1.37 2020
559928454 Paynter, Elvira 4.56 2021
559964089 Langarica, Pegerto 0.44 2021
559967994 Inbody, Dris 1.08 2019
559973690 Carmon, Claudiana 5.00 2019
559980701 Pitts, Stoica 0.04 2019
559983600 Lepisto, Loris 2.57 2018
559987586 Guzzardo, Bert 0.59 2020
560002013 Stay, Ehedei 2.96 2020
560018761 Dettori, Josue 3.17 2021
560018686 Gumina, Georgy 0.06 2022
560018944 Roda, Lucinia 3.67 2020
560028544 Egler, Gustav 2.73 2018
560033970 Farmwald, Saturio 4.24 2018
560048896 Frasch, Plinio 2.04 2019
560073559 Southgate, Qiaoyan 3.83 2020
560082085 Mishou, Carlotta 4.51 2019
560083241 Krack, Terina 2.31 2018
560086346 Kohlmeyer, Emilija 3.03 2018
560086969 Valido, Guillerma 0.97 2020
560092553 Poole, Basel 4.71 2022
560117965 Meehl, Djibril 4.66 2019
560123890 Attard, Idelfonso 0.82 2021
560128382 Meeds, Erhard 3.53 2021
560134199 Cerminaro, Huifen 3.20 2021
560155858 Frankforter, Diakite 2.35 2019
560157714 Jagoda, Rutha 0.59 2022
560158264 Snetting, Sherie 3.78 2022
560168085 Breitbach, Delia 0.22 2020
560169592 Leavengood, Esther 4.61 2019
560173074 Pogar, Begum 2.43 2020
560174109 Brevig, Contemplacion 4.26 2020
560190898 Cloonan, Mohinder 2.75 2021
560211532 Monds, Taysa 1.60 2018
560240701 Bucolo, Irlanda 1.27 2019
560248671 Gear, Patrisia 1.72 2020
560257556 Blong, Bastiaan 0.99 2018
560257494 Cobham, Marinica 1.96 2019
560258993 Pafundi, Feodor 2.27 2020
560261643 Kosanke, Mitzi 4.83 2021
560276184 Eisley, Simo 0.17 2018
560282654 Koudelka, Taren 4.89 2021
560287636 Pyle, Palmira 3.82 2021
560301793 Reep, Marinella 3.18 2019
560306893 Kabus, Marguerite 4.98 2018
560312768 Felsenthal, Lucy 4.91 2019
560324345 Toomey, Jeanie 3.91 2020
560336278 Caligiuri, Querubina 0.27 2018
560347463 Kehr, Tamara 4.09 2021
560365825 Vanruler, Frieda 0.43 2021
560373523 Drappo, Hanna 1.90 2021
560408079 Kennington, Lama 2.74 2022
560419793 Mistry, Manrique 3.25 2022
560425287 Greviston, Katsiaryna 3.24 2020
560430929 Bossi, Perlita 1.16 2018
560435541 Spiro, Aleksei 1.84 2020
560438570 Lilley, Jeronima 0.71 2020
560461795 French, Kristan 1.13 2018
560468502 Govern, Marly 0.06 2018
560475018 Stofko, Yapci 0.31 2021
560479764 Ledon, Bonka 0.62 2020
560489889 Spearmon, Aundrea 0.23 2018
560492884 Laredo, Neva 1.40 2021
560501901 Seton, Madge 2.62 2020
560521964 Chilek, Oleksii 1.17 2020
560544174 Mcneme, Badea 3.40 2019
560617826 Tolles, Saly 2.80 2022
560620640 Fitzerald, Mckinley 2.61 2018
560636527 Nickelston, Nadjia 4.23 2021
560639384 Yaeger, Dalal 4.24 2018
560688644 Robarge, Millana 0.55 2018
560691017 Sean, Nadejda 4.25 2021
560695938 Sobrio, Ascendina 0.61 2018
560702770 Kersch, Aintxane 0.73 2022
560711690 Luarca, Bintou 3.72 2018
560712140 Hsing, Baruc 3.44 2018
560712877 Lorion, Sheraz 0.78 2021
560713125 Caberto, Nicasia 3.55 2018
560720800 Bulwinkle, Turid 0.88 2020
560732608 Sevillano, Han 1.92 2019
560750414 Gorrindo, Santina 2.23 2018
560753248 Bronstad, Leisha 2.69 2021
560759790 Baumann, Stanford 1.75 2020
560761521 Fullmer, Ilai 3.83 2020
560764723 Pluhar, Lilliam 3.81 2022
560764054 Friedli, Kalifa 3.50 2022
560768313 Scovill, Mbarek 0.26 2018
560776809 Seals, Nancey 3.74 2020
560781490 Holdcraft, Cordelia 1.02 2022
560787361 Silvia, Siham 2.16 2022
560797411 Lallier, Cantia 0.27 2020
560815440 Mautino, Leif 2.18 2021
560815378 Visocsky, Klaus 1.91 2022
560821394 Kaub, Elga 4.61 2019
560838503 Miazga, Servio 3.51 2022
560849356 Whitham, Nesrine 3.93 2022
560853233 Floerke, Alice 0.50 2021
560854528 Abbed, Page 1.84 2022
560858320 Halsted, Najim 2.39 2019
560865024 Haacke, Elizbeth 3.69 2020
560868677 Ancheta, Nastase 3.38 2018
560886369 Fawell, Cindia 0.01 2022
560887146 Scheuerman, Mahfud 3.95 2022
560892878 Brye, Amaury 3.06 2021
560897641 Kanae, Goundo 2.97 2018
560922274 Langdale, Valery 4.13 2019
560930366 Beetley, Imane 0.33 2022
560932371 Rena, Margita 4.97 2021
560934043 Boler, Kamaljit 3.71 2022
560935643 Bucanan, Fina 0.73 2020
560940376 Siskin, Mahyuba 2.72 2021
560940709 Czach, Deysi 1.68 2020
560940711 Mortimore, Peio 1.91 2019
560952730 Malouf, Chahrazed 1.77 2020
560962308 Karayan, Itoitz 4.03 2021
560974063 Cintron, Yumara 3.97 2021
560975351 Fromong, Esmeralda 4.43 2022
560984947 Stagliano, Fattoum 2.00 2021
560987052 Aloe, Alonso 1.19 2018
561003076 Weida, Claud 0.15 2020
561006644 Horelick, Cristophe 3.78 2018
561012787 Wojner, Jeshua 1.40 2021
561016203 Tauer, Tonia 1.15 2022
561021004 Sapper, Magdala 1.67 2022
561025178 Pampusch, Nugzar 2.39 2020
561041916 Chila, Murad 1.56 2021
561043576 Sakamoto, Xianli 4.02 2018
561043001 Velazquez, Diamantino 2.47 2018
561053147 Parrales, Gaudioso 0.10 2020
561054231 Tubville, Maple 2.98 2022
561058810 Brumbaugh, Andon 4.43 2021
561078168 Landsman, Minko 1.53 2022
